EventID,case:concept:name,concept:name,time:timestamp,lifecycle:transition,ground_truth_activity
156,Case_843,A,2023-01-01 16:15:00+00:00,complete,A_end
157,Case_271,C,2023-01-01 16:20:00+00:00,complete,C
158,Case_271,D,2023-01-01 16:24:00+00:00,complete,D
159,Case_271,B1,2023-01-01 16:24:00+00:00,complete,B1
160,Case_831,B2,2023-01-01 16:28:00+00:00,complete,B2
161,Case_730,A,2023-01-01 16:35:00+00:00,complete,A_end
162,Case_271,B2,2023-01-01 16:57:00+00:00,complete,B2
163,Case_831,A,2023-01-01 17:08:00+00:00,complete,A_middle
164,Case_831,E1,2023-01-01 17:24:00+00:00,complete,E1
165,Case_271,A,2023-01-01 17:35:00+00:00,complete,A_middle
166,Case_271,F,2023-01-01 17:54:00+00:00,complete,F
167,Case_831,E2,2023-01-01 18:11:00+00:00,complete,E2
168,Case_831,A,2023-01-01 18:41:00+00:00,complete,A_end
169,Case_788,A,2023-01-01 18:50:00+00:00,complete,A_start
170,Case_271,A,2023-01-01 19:11:00+00:00,complete,A_end
171,Case_788,C,2023-01-01 19:12:00+00:00,complete,C
172,Case_788,D,2023-01-01 19:13:00+00:00,complete,D
173,Case_788,B1,2023-01-01 19:19:00+00:00,complete,B1
174,Case_788,B2,2023-01-01 19:58:00+00:00,complete,B2
175,Case_788,A,2023-01-01 20:21:00+00:00,complete,A_middle
176,Case_788,E1,2023-01-01 20:50:00+00:00,complete,E1
177,Case_674,A,2023-01-01 21:10:00+00:00,complete,A_start
178,Case_171,A,2023-01-01 21:16:00+00:00,complete,A_start
179,Case_622,A,2023-01-01 21:20:00+00:00,complete,A_start
180,Case_674,C,2023-01-01 21:27:00+00:00,complete,C
181,Case_674,D,2023-01-01 21:30:00+00:00,complete,D
182,Case_171,C,2023-01-01 21:30:00+00:00,complete,C
183,Case_171,D,2023-01-01 21:31:00+00:00,complete,D
184,Case_674,B1,2023-01-01 21:34:00+00:00,complete,B1
185,Case_622,C,2023-01-01 21:34:00+00:00,complete,C
186,Case_788,E2,2023-01-01 21:36:00+00:00,complete,E2
187,Case_171,B1,2023-01-01 21:37:00+00:00,complete,B1
188,Case_622,D,2023-01-01 21:37:00+00:00,complete,D
189,Case_622,B1,2023-01-01 21:41:00+00:00,complete,B1
190,Case_171,B2,2023-01-01 21:53:00+00:00,complete,B2
191,Case_674,B2,2023-01-01 21:55:00+00:00,complete,B2
192,Case_788,A,2023-01-01 22:00:00+00:00,complete,A_end
193,Case_622,B2,2023-01-01 22:09:00+00:00,complete,B2
194,Case_686,A,2023-01-01 22:15:00+00:00,complete,A_start
195,Case_686,C,2023-01-01 22:36:00+00:00,complete,C
196,Case_686,B1,2023-01-01 22:39:00+00:00,complete,B1
197,Case_953,A,2023-01-01 22:39:00+00:00,complete,A_start
198,Case_171,A,2023-01-01 22:40:00+00:00,complete,A_middle
199,Case_622,A,2023-01-01 22:40:00+00:00,complete,A_middle
200,Case_686,D,2023-01-01 22:41:00+00:00,complete,D
201,Case_953,C,2023-01-01 22:52:00+00:00,complete,C
202,Case_953,D,2023-01-01 22:53:00+00:00,complete,D
203,Case_674,A,2023-01-01 22:54:00+00:00,complete,A_middle
204,Case_953,B1,2023-01-01 22:55:00+00:00,complete,B1
205,Case_622,F,2023-01-01 22:56:00+00:00,complete,F
206,Case_208,A,2023-01-01 22:58:00+00:00,complete,A_start
207,Case_686,B2,2023-01-01 23:02:00+00:00,complete,B2
208,Case_171,F,2023-01-01 23:04:00+00:00,complete,F
209,Case_208,C,2023-01-01 23:08:00+00:00,complete,C
210,Case_674,E1,2023-01-01 23:12:00+00:00,complete,E1
211,Case_208,D,2023-01-01 23:13:00+00:00,complete,D
212,Case_208,B1,2023-01-01 23:13:00+00:00,complete,B1
213,Case_953,B2,2023-01-01 23:37:00+00:00,complete,B2
214,Case_208,B2,2023-01-01 23:39:00+00:00,complete,B2
215,Case_686,A,2023-01-01 23:52:00+00:00,complete,A_middle
216,Case_674,E2,2023-01-01 23:55:00+00:00,complete,E2
217,Case_171,A,2023-01-02 00:02:00+00:00,complete,A_end
218,Case_622,A,2023-01-02 00:05:00+00:00,complete,A_end
219,Case_686,E1,2023-01-02 00:11:00+00:00,complete,E1
220,Case_208,A,2023-01-02 00:15:00+00:00,complete,A_middle
221,Case_953,A,2023-01-02 00:22:00+00:00,complete,A_middle
222,Case_674,A,2023-01-02 00:34:00+00:00,complete,A_end
223,Case_686,E2,2023-01-02 00:41:00+00:00,complete,E2
224,Case_208,F,2023-01-02 00:43:00+00:00,complete,F
225,Case_953,F,2023-01-02 00:49:00+00:00,complete,F
226,Case_686,A,2023-01-02 01:21:00+00:00,complete,A_end
227,Case_953,A,2023-01-02 01:49:00+00:00,complete,A_end
228,Case_449,A,2023-01-02 01:50:00+00:00,complete,A_start
229,Case_208,A,2023-01-02 01:58:00+00:00,complete,A_end
230,Case_449,C,2023-01-02 02:11:00+00:00,complete,C
231,Case_449,B1,2023-01-02 02:13:00+00:00,complete,B1
232,Case_449,D,2023-01-02 02:13:00+00:00,complete,D
233,Case_542,A,2023-01-02 02:40:00+00:00,complete,A_start
234,Case_449,B2,2023-01-02 02:47:00+00:00,complete,B2
235,Case_542,C,2023-01-02 02:52:00+00:00,complete,C
236,Case_542,D,2023-01-02 02:56:00+00:00,complete,D
237,Case_542,B1,2023-01-02 02:56:00+00:00,complete,B1
238,Case_431,A,2023-01-02 03:04:00+00:00,complete,A_start
239,Case_3,A,2023-01-02 03:19:00+00:00,complete,A_start
240,Case_431,C,2023-01-02 03:23:00+00:00,complete,C
241,Case_431,D,2023-01-02 03:24:00+00:00,complete,D
242,Case_431,B1,2023-01-02 03:26:00+00:00,complete,B1
243,Case_542,B2,2023-01-02 03:31:00+00:00,complete,B2
244,Case_449,A,2023-01-02 03:42:00+00:00,complete,A_middle
245,Case_3,C,2023-01-02 03:46:00+00:00,complete,C
246,Case_3,D,2023-01-02 03:51:00+00:00,complete,D
247,Case_3,B1,2023-01-02 03:53:00+00:00,complete,B1
248,Case_706,A,2023-01-02 04:02:00+00:00,complete,A_start
249,Case_449,E1,2023-01-02 04:02:00+00:00,complete,E1
250,Case_431,B2,2023-01-02 04:09:00+00:00,complete,B2
251,Case_3,B2,2023-01-02 04:12:00+00:00,complete,B2
252,Case_948,A,2023-01-02 04:15:00+00:00,complete,A_start
253,Case_542,A,2023-01-02 04:17:00+00:00,complete,A_middle
254,Case_449,E2,2023-01-02 04:29:00+00:00,complete,E2
255,Case_542,F,2023-01-02 04:30:00+00:00,complete,F
256,Case_706,C,2023-01-02 04:31:00+00:00,complete,C
257,Case_706,D,2023-01-02 04:34:00+00:00,complete,D
258,Case_948,C,2023-01-02 04:36:00+00:00,complete,C
259,Case_706,B1,2023-01-02 04:38:00+00:00,complete,B1
260,Case_948,D,2023-01-02 04:39:00+00:00,complete,D
261,Case_948,B1,2023-01-02 04:43:00+00:00,complete,B1
262,Case_20,A,2023-01-02 04:59:00+00:00,complete,A_start
263,Case_431,A,2023-01-02 05:03:00+00:00,complete,A_middle
264,Case_3,A,2023-01-02 05:03:00+00:00,complete,A_middle
265,Case_449,A,2023-01-02 05:04:00+00:00,complete,A_end
266,Case_706,B2,2023-01-02 05:04:00+00:00,complete,B2
267,Case_542,A,2023-01-02 05:07:00+00:00,complete,A_end
268,Case_948,B2,2023-01-02 05:09:00+00:00,complete,B2
269,Case_431,F,2023-01-02 05:17:00+00:00,complete,F
270,Case_20,C,2023-01-02 05:23:00+00:00,complete,C
271,Case_20,D,2023-01-02 05:25:00+00:00,complete,D
272,Case_649,A,2023-01-02 05:27:00+00:00,complete,A_start
273,Case_20,B1,2023-01-02 05:30:00+00:00,complete,B1
274,Case_3,F,2023-01-02 05:33:00+00:00,complete,F
275,Case_653,A,2023-01-02 05:36:00+00:00,complete,A_start
276,Case_706,A,2023-01-02 05:37:00+00:00,complete,A_middle
277,Case_948,A,2023-01-02 05:38:00+00:00,complete,A_middle
278,Case_653,C,2023-01-02 05:50:00+00:00,complete,C
279,Case_653,B1,2023-01-02 05:54:00+00:00,complete,B1
280,Case_649,C,2023-01-02 05:55:00+00:00,complete,C
281,Case_653,D,2023-01-02 05:55:00+00:00,complete,D
282,Case_649,D,2023-01-02 05:56:00+00:00,complete,D
283,Case_948,F,2023-01-02 06:00:00+00:00,complete,F
284,Case_649,B1,2023-01-02 06:01:00+00:00,complete,B1
285,Case_706,F,2023-01-02 06:01:00+00:00,complete,F
286,Case_20,B2,2023-01-02 06:04:00+00:00,complete,B2
287,Case_462,A,2023-01-02 06:08:00+00:00,complete,A_start
288,Case_431,A,2023-01-02 06:15:00+00:00,complete,A_end
289,Case_462,C,2023-01-02 06:21:00+00:00,complete,C
290,Case_462,D,2023-01-02 06:22:00+00:00,complete,D
291,Case_649,B2,2023-01-02 06:22:00+00:00,complete,B2
292,Case_462,B1,2023-01-02 06:23:00+00:00,complete,B1
293,Case_20,A,2023-01-02 06:31:00+00:00,complete,A_middle
294,Case_653,B2,2023-01-02 06:36:00+00:00,complete,B2
295,Case_3,A,2023-01-02 06:39:00+00:00,complete,A_end
296,Case_948,A,2023-01-02 06:42:00+00:00,complete,A_end
297,Case_20,E1,2023-01-02 06:42:00+00:00,complete,E1
298,Case_462,B2,2023-01-02 06:49:00+00:00,complete,B2
299,Case_706,A,2023-01-02 06:51:00+00:00,complete,A_end
300,Case_20,E2,2023-01-02 07:09:00+00:00,complete,E2
301,Case_653,A,2023-01-02 07:10:00+00:00,complete,A_middle
302,Case_649,A,2023-01-02 07:19:00+00:00,complete,A_middle
303,Case_762,A,2023-01-02 07:20:00+00:00,complete,A_start
304,Case_653,E1,2023-01-02 07:24:00+00:00,complete,E1
305,Case_20,A,2023-01-02 07:28:00+00:00,complete,A_end
306,Case_462,A,2023-01-02 07:33:00+00:00,complete,A_middle
307,Case_649,E1,2023-01-02 07:35:00+00:00,complete,E1
308,Case_762,C,2023-01-02 07:38:00+00:00,complete,C
309,Case_762,D,2023-01-02 07:40:00+00:00,complete,D
310,Case_640,A,2023-01-02 07:42:00+00:00,complete,A_start
311,Case_762,B1,2023-01-02 07:43:00+00:00,complete,B1
312,Case_462,F,2023-01-02 08:01:00+00:00,complete,F
313,Case_649,E2,2023-01-02 08:02:00+00:00,complete,E2
314,Case_640,C,2023-01-02 08:08:00+00:00,complete,C
315,Case_653,E2,2023-01-02 08:09:00+00:00,complete,E2
316,Case_640,D,2023-01-02 08:09:00+00:00,complete,D
317,Case_640,B1,2023-01-02 08:14:00+00:00,complete,B1
318,Case_762,B2,2023-01-02 08:14:00+00:00,complete,B2
319,Case_649,A,2023-01-02 08:27:00+00:00,complete,A_end
320,Case_653,A,2023-01-02 08:29:00+00:00,complete,A_end
321,Case_14,A,2023-01-02 08:32:00+00:00,complete,A_start
322,Case_640,B2,2023-01-02 08:36:00+00:00,complete,B2
323,Case_462,A,2023-01-02 08:47:00+00:00,complete,A_end
324,Case_762,A,2023-01-02 08:52:00+00:00,complete,A_middle
325,Case_14,C,2023-01-02 08:58:00+00:00,complete,C
326,Case_14,B1,2023-01-02 09:00:00+00:00,complete,B1
327,Case_14,D,2023-01-02 09:02:00+00:00,complete,D
328,Case_762,F,2023-01-02 09:04:00+00:00,complete,F
329,Case_14,B2,2023-01-02 09:16:00+00:00,complete,B2
330,Case_640,A,2023-01-02 09:35:00+00:00,complete,A_middle
331,Case_640,E1,2023-01-02 09:46:00+00:00,complete,E1
332,Case_683,A,2023-01-02 09:53:00+00:00,complete,A_start
333,Case_762,A,2023-01-02 10:02:00+00:00,complete,A_end
334,Case_14,A,2023-01-02 10:08:00+00:00,complete,A_middle
335,Case_220,A,2023-01-02 10:18:00+00:00,complete,A_start
336,Case_683,C,2023-01-02 10:18:00+00:00,complete,C
337,Case_683,B1,2023-01-02 10:20:00+00:00,complete,B1
338,Case_683,D,2023-01-02 10:22:00+00:00,complete,D
339,Case_14,F,2023-01-02 10:30:00+00:00,complete,F
340,Case_640,E2,2023-01-02 10:35:00+00:00,complete,E2
341,Case_13,A,2023-01-02 10:42:00+00:00,complete,A_start
342,Case_683,B2,2023-01-02 10:45:00+00:00,complete,B2
343,Case_220,C,2023-01-02 10:47:00+00:00,complete,C
344,Case_220,D,2023-01-02 10:52:00+00:00,complete,D
345,Case_220,B1,2023-01-02 10:54:00+00:00,complete,B1
346,Case_93,A,2023-01-02 11:03:00+00:00,complete,A_start
347,Case_14,A,2023-01-02 11:11:00+00:00,complete,A_end
348,Case_640,A,2023-01-02 11:11:00+00:00,complete,A_end
349,Case_13,C,2023-01-02 11:11:00+00:00,complete,C
350,Case_13,D,2023-01-02 11:12:00+00:00,complete,D
351,Case_13,B1,2023-01-02 11:18:00+00:00,complete,B1
352,Case_220,B2,2023-01-02 11:19:00+00:00,complete,B2
353,Case_93,C,2023-01-02 11:26:00+00:00,complete,C
354,Case_93,D,2023-01-02 11:30:00+00:00,complete,D
355,Case_93,B1,2023-01-02 11:31:00+00:00,complete,B1
356,Case_13,B2,2023-01-02 11:36:00+00:00,complete,B2
357,Case_905,A,2023-01-02 11:39:00+00:00,complete,A_start
358,Case_683,A,2023-01-02 11:43:00+00:00,complete,A_middle
359,Case_905,C,2023-01-02 11:57:00+00:00,complete,C
360,Case_683,F,2023-01-02 11:57:00+00:00,complete,F
361,Case_905,D,2023-01-02 11:59:00+00:00,complete,D
362,Case_905,B1,2023-01-02 12:02:00+00:00,complete,B1
363,Case_220,A,2023-01-02 12:03:00+00:00,complete,A_middle
364,Case_93,B2,2023-01-02 12:09:00+00:00,complete,B2
365,Case_905,B2,2023-01-02 12:19:00+00:00,complete,B2
366,Case_13,A,2023-01-02 12:31:00+00:00,complete,A_middle
367,Case_220,E1,2023-01-02 12:32:00+00:00,complete,E1
368,Case_93,A,2023-01-02 12:35:00+00:00,complete,A_middle
369,Case_13,F,2023-01-02 12:47:00+00:00,complete,F
370,Case_683,A,2023-01-02 12:49:00+00:00,complete,A_end
371,Case_93,F,2023-01-02 12:55:00+00:00,complete,F
372,Case_220,E2,2023-01-02 13:06:00+00:00,complete,E2
373,Case_905,A,2023-01-02 13:07:00+00:00,complete,A_middle
374,Case_905,F,2023-01-02 13:19:00+00:00,complete,F
375,Case_13,A,2023-01-02 13:36:00+00:00,complete,A_end
376,Case_220,A,2023-01-02 13:37:00+00:00,complete,A_end
377,Case_905,A,2023-01-02 14:00:00+00:00,complete,A_end
378,Case_93,A,2023-01-02 14:12:00+00:00,complete,A_end
379,Case_407,A,2023-01-02 15:21:00+00:00,complete,A_start
380,Case_407,C,2023-01-02 15:42:00+00:00,complete,C
381,Case_407,B1,2023-01-02 15:44:00+00:00,complete,B1
382,Case_407,D,2023-01-02 15:44:00+00:00,complete,D
383,Case_982,A,2023-01-02 16:04:00+00:00,complete,A_start
384,Case_407,B2,2023-01-02 16:17:00+00:00,complete,B2
385,Case_982,C,2023-01-02 16:27:00+00:00,complete,C
386,Case_982,B1,2023-01-02 16:29:00+00:00,complete,B1
387,Case_982,D,2023-01-02 16:31:00+00:00,complete,D
388,Case_407,A,2023-01-02 17:12:00+00:00,complete,A_middle
389,Case_982,B2,2023-01-02 17:14:00+00:00,complete,B2
390,Case_407,F,2023-01-02 17:39:00+00:00,complete,F
391,Case_468,A,2023-01-02 17:47:00+00:00,complete,A_start
392,Case_982,A,2023-01-02 17:52:00+00:00,complete,A_middle
393,Case_468,C,2023-01-02 18:15:00+00:00,complete,C
394,Case_468,D,2023-01-02 18:17:00+00:00,complete,D
395,Case_440,A,2023-01-02 18:17:00+00:00,complete,A_start
396,Case_982,F,2023-01-02 18:21:00+00:00,complete,F
397,Case_407,A,2023-01-02 18:21:00+00:00,complete,A_end
398,Case_468,B1,2023-01-02 18:22:00+00:00,complete,B1
399,Case_440,C,2023-01-02 18:38:00+00:00,complete,C
400,Case_440,B1,2023-01-02 18:41:00+00:00,complete,B1
401,Case_440,D,2023-01-02 18:41:00+00:00,complete,D
402,Case_468,B2,2023-01-02 18:52:00+00:00,complete,B2
403,Case_982,A,2023-01-02 19:02:00+00:00,complete,A_end
404,Case_440,B2,2023-01-02 19:21:00+00:00,complete,B2
405,Case_321,A,2023-01-02 19:24:00+00:00,complete,A_start
406,Case_468,A,2023-01-02 19:26:00+00:00,complete,A_middle
407,Case_943,A,2023-01-02 19:32:00+00:00,complete,A_start
408,Case_417,A,2023-01-02 19:34:00+00:00,complete,A_start
409,Case_468,F,2023-01-02 19:39:00+00:00,complete,F
410,Case_943,C,2023-01-02 19:51:00+00:00,complete,C
411,Case_943,B1,2023-01-02 19:53:00+00:00,complete,B1
412,Case_321,C,2023-01-02 19:53:00+00:00,complete,C
413,Case_943,D,2023-01-02 19:54:00+00:00,complete,D
414,Case_956,A,2023-01-02 19:56:00+00:00,complete,A_start
415,Case_682,A,2023-01-02 19:58:00+00:00,complete,A_start
416,Case_321,D,2023-01-02 19:58:00+00:00,complete,D
417,Case_321,B1,2023-01-02 19:59:00+00:00,complete,B1
418,Case_417,C,2023-01-02 20:04:00+00:00,complete,C
419,Case_417,D,2023-01-02 20:05:00+00:00,complete,D
420,Case_440,A,2023-01-02 20:08:00+00:00,complete,A_middle
421,Case_682,C,2023-01-02 20:09:00+00:00,complete,C
422,Case_417,B1,2023-01-02 20:10:00+00:00,complete,B1
423,Case_682,D,2023-01-02 20:10:00+00:00,complete,D
424,Case_943,B2,2023-01-02 20:13:00+00:00,complete,B2
425,Case_682,B1,2023-01-02 20:14:00+00:00,complete,B1
426,Case_956,C,2023-01-02 20:17:00+00:00,complete,C
427,Case_956,D,2023-01-02 20:20:00+00:00,complete,D
428,Case_956,B1,2023-01-02 20:23:00+00:00,complete,B1
