EventID,Timestamp,OrgLabel,org:resource,concept:name,lifecycle:transition,case:concept:name
46,46,B,artificial,D_Dupli,complete,"100 [A, B, D, E, C, F, G, H, I]"
47,47,D,artificial,D_Dupli,complete,"100 [A, B, D, E, C, F, G, H, I]"
48,48,E,artificial,D_Dupli,complete,"100 [A, B, D, E, C, F, G, H, I]"
49,49,C,artificial,D_Dupli,complete,"100 [A, B, D, E, C, F, G, H, I]"
50,50,F,artificial,F,complete,"100 [A, B, D, E, C, F, G, H, I]"
51,51,G,artificial,G,complete,"100 [A, B, D, E, C, F, G, H, I]"
52,52,I,artificial,I,complete,"100 [A, B, D, E, C, F, G, H, I]"
53,53,A,artificial,A,complete,"101 [A, B, C, E, D, F, G, I, H]"
54,54,B,artificial,D_Dupli,complete,"101 [A, B, C, E, D, F, G, I, H]"
55,55,G,artificial,G,complete,"101 [A, B, C, E, D, F, G, I, H]"
56,56,F,artificial,F,complete,"101 [A, B, C, E, D, F, G, I, H]"
57,57,H,artificial,H,complete,"101 [A, B, C, E, D, F, G, I, H]"
58,58,D,artificial,D_Dupli,complete,"101 [A, B, C, E, D, F, G, I, H]"
59,59,E,artificial,D_Dupli,complete,"101 [A, B, C, E, D, F, G, I, H]"
60,60,C,artificial,D_Dupli,complete,"101 [A, B, C, E, D, F, G, I, H]"
61,61,I,artificial,I,complete,"101 [A, B, C, E, D, F, G, I, H]"
62,62,B,artificial,D_Dupli,complete,"102 [A, B, C, E, D, F, G, I, H]"
63,63,I,artificial,I,complete,"102 [A, B, C, E, D, F, G, I, H]"
64,64,G,artificial,G,complete,"102 [A, B, C, E, D, F, G, I, H]"
65,65,F,artificial,F,complete,"102 [A, B, C, E, D, F, G, I, H]"
66,66,D,artificial,D_Dupli,complete,"102 [A, B, C, E, D, F, G, I, H]"
67,67,E,artificial,D_Dupli,complete,"102 [A, B, C, E, D, F, G, I, H]"
68,68,C,artificial,D_Dupli,complete,"102 [A, B, C, E, D, F, G, I, H]"
69,69,H,artificial,H,complete,"102 [A, B, C, E, D, F, G, I, H]"
70,70,A,artificial,A,complete,"102 [A, B, C, E, D, F, G, I, H]"
71,71,D,artificial,D_Dupli,complete,"103 [B, A, E, C, D, F, G, H, I]"
72,72,H,artificial,H,complete,"103 [B, A, E, C, D, F, G, H, I]"
73,73,B,artificial,D_Dupli,complete,"103 [B, A, E, C, D, F, G, H, I]"
74,74,A,artificial,A,complete,"103 [B, A, E, C, D, F, G, H, I]"
75,75,E,artificial,D_Dupli,complete,"103 [B, A, E, C, D, F, G, H, I]"
76,76,C,artificial,D_Dupli,complete,"103 [B, A, E, C, D, F, G, H, I]"
77,77,F,artificial,F,complete,"103 [B, A, E, C, D, F, G, H, I]"
78,78,G,artificial,G,complete,"103 [B, A, E, C, D, F, G, H, I]"
79,79,I,artificial,I,complete,"103 [B, A, E, C, D, F, G, H, I]"
80,80,B,artificial,D_Dupli,complete,"104 [A, B, D, E, C, F, G, H, I]"
81,81,H,artificial,H,complete,"104 [A, B, D, E, C, F, G, H, I]"
82,82,G,artificial,G,complete,"104 [A, B, D, E, C, F, G, H, I]"
83,83,F,artificial,F,complete,"104 [A, B, D, E, C, F, G, H, I]"
84,84,C,artificial,D_Dupli,complete,"104 [A, B, D, E, C, F, G, H, I]"
85,85,E,artificial,D_Dupli,complete,"104 [A, B, D, E, C, F, G, H, I]"
86,86,D,artificial,D_Dupli,complete,"104 [A, B, D, E, C, F, G, H, I]"
87,87,I,artificial,I,complete,"104 [A, B, D, E, C, F, G, H, I]"
88,88,A,artificial,A,complete,"104 [A, B, D, E, C, F, G, H, I]"
89,89,D,artificial,D_Dupli,complete,"105 [A, B, D, C, E, F, G, I, H]"
90,90,E,artificial,D_Dupli,complete,"105 [A, B, D, C, E, F, G, I, H]"
91,91,A,artificial,A,complete,"105 [A, B, D, C, E, F, G, I, H]"
92,92,B,artificial,D_Dupli,complete,"105 [A, B, D, C, E, F, G, I, H]"
93,93,C,artificial,D_Dupli,complete,"105 [A, B, D, C, E, F, G, I, H]"
94,94,F,artificial,F,complete,"105 [A, B, D, C, E, F, G, I, H]"
95,95,G,artificial,G,complete,"105 [A, B, D, C, E, F, G, I, H]"
96,96,I,artificial,I,complete,"105 [A, B, D, C, E, F, G, I, H]"
97,97,H,artificial,H,complete,"105 [A, B, D, C, E, F, G, I, H]"
98,98,A,artificial,A,complete,"106 [A, B, C, D, E, F, G, H, I]"
99,99,B,artificial,D_Dupli,complete,"106 [A, B, C, D, E, F, G, H, I]"
100,100,I,artificial,I,complete,"106 [A, B, C, D, E, F, G, H, I]"
101,101,D,artificial,D_Dupli,complete,"106 [A, B, C, D, E, F, G, H, I]"
102,102,E,artificial,D_Dupli,complete,"106 [A, B, C, D, E, F, G, H, I]"
103,103,F,artificial,F,complete,"106 [A, B, C, D, E, F, G, H, I]"
104,104,C,artificial,D_Dupli,complete,"106 [A, B, C, D, E, F, G, H, I]"
105,105,G,artificial,G,complete,"106 [A, B, C, D, E, F, G, H, I]"
106,106,H,artificial,H,complete,"106 [A, B, C, D, E, F, G, H, I]"
107,107,A,artificial,A,complete,"107 [B, A, C, D, E, F, G, I, H]"
108,108,C,artificial,D_Dupli,complete,"107 [B, A, C, D, E, F, G, I, H]"
109,109,H,artificial,H,complete,"107 [B, A, C, D, E, F, G, I, H]"
110,110,I,artificial,I,complete,"107 [B, A, C, D, E, F, G, I, H]"
111,111,G,artificial,G,complete,"107 [B, A, C, D, E, F, G, I, H]"
112,112,F,artificial,F,complete,"107 [B, A, C, D, E, F, G, I, H]"
113,113,E,artificial,D_Dupli,complete,"107 [B, A, C, D, E, F, G, I, H]"
114,114,D,artificial,D_Dupli,complete,"107 [B, A, C, D, E, F, G, I, H]"
115,115,B,artificial,D_Dupli,complete,"107 [B, A, C, D, E, F, G, I, H]"
116,116,G,artificial,G,complete,"108 [B, A, C, D, E, F, G, H, I]"
117,117,F,artificial,F,complete,"108 [B, A, C, D, E, F, G, H, I]"
118,118,C,artificial,D_Dupli,complete,"108 [B, A, C, D, E, F, G, H, I]"
119,119,D,artificial,D_Dupli,complete,"108 [B, A, C, D, E, F, G, H, I]"
120,120,H,artificial,H,complete,"108 [B, A, C, D, E, F, G, H, I]"
121,121,E,artificial,D_Dupli,complete,"108 [B, A, C, D, E, F, G, H, I]"
122,122,I,artificial,I,complete,"108 [B, A, C, D, E, F, G, H, I]"
123,123,B,artificial,D_Dupli,complete,"108 [B, A, C, D, E, F, G, H, I]"
124,124,A,artificial,A,complete,"108 [B, A, C, D, E, F, G, H, I]"
125,125,A,artificial,A,complete,"109 [B, A, D, C, E, F, G, H, I]"
126,126,I,artificial,I,complete,"109 [B, A, D, C, E, F, G, H, I]"
127,127,D,artificial,D_Dupli,complete,"109 [B, A, D, C, E, F, G, H, I]"
128,128,C,artificial,D_Dupli,complete,"109 [B, A, D, C, E, F, G, H, I]"
129,129,E,artificial,D_Dupli,complete,"109 [B, A, D, C, E, F, G, H, I]"
130,130,F,artificial,F,complete,"109 [B, A, D, C, E, F, G, H, I]"
131,131,H,artificial,H,complete,"109 [B, A, D, C, E, F, G, H, I]"
132,132,B,artificial,D_Dupli,complete,"109 [B, A, D, C, E, F, G, H, I]"
133,133,G,artificial,G,complete,"109 [B, A, D, C, E, F, G, H, I]"
134,134,F,artificial,F,complete,"11 [B, A, E, C, D, F, G, H, I]"
135,135,H,artificial,H,complete,"11 [B, A, E, C, D, F, G, H, I]"
136,136,B,artificial,D_Dupli,complete,"11 [B, A, E, C, D, F, G, H, I]"
137,137,A,artificial,A,complete,"11 [B, A, E, C, D, F, G, H, I]"
138,138,E,artificial,D_Dupli,complete,"11 [B, A, E, C, D, F, G, H, I]"
139,139,C,artificial,D_Dupli,complete,"11 [B, A, E, C, D, F, G, H, I]"
140,140,D,artificial,D_Dupli,complete,"11 [B, A, E, C, D, F, G, H, I]"
141,141,G,artificial,G,complete,"11 [B, A, E, C, D, F, G, H, I]"
142,142,I,artificial,I,complete,"11 [B, A, E, C, D, F, G, H, I]"
143,143,D,artificial,D_Dupli,complete,"110 [A, B, D, C, E, F, G, H, I]"
144,144,I,artificial,I,complete,"110 [A, B, D, C, E, F, G, H, I]"
145,145,H,artificial,H,complete,"110 [A, B, D, C, E, F, G, H, I]"
146,146,G,artificial,G,complete,"110 [A, B, D, C, E, F, G, H, I]"
147,147,F,artificial,F,complete,"110 [A, B, D, C, E, F, G, H, I]"
148,148,E,artificial,D_Dupli,complete,"110 [A, B, D, C, E, F, G, H, I]"
149,149,C,artificial,D_Dupli,complete,"110 [A, B, D, C, E, F, G, H, I]"
150,150,B,artificial,D_Dupli,complete,"110 [A, B, D, C, E, F, G, H, I]"
151,151,A,artificial,A,complete,"110 [A, B, D, C, E, F, G, H, I]"
152,152,F,artificial,F,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
153,153,G,artificial,G,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
154,154,H,artificial,H,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
155,155,I,artificial,I,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
156,156,M,artificial,M,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
157,157,O,artificial,O,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
158,158,N,artificial,N,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
159,159,F,artificial,F,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
160,160,I,artificial,I,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
161,161,D,artificial,D_Dupli,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
162,162,G,artificial,G,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
163,163,C,artificial,D_Dupli,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
164,164,H,artificial,H,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
165,165,B,artificial,D_Dupli,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
166,166,A,artificial,A,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
167,167,E,artificial,D_Dupli,complete,"111 [A, B, E, C, D, F, G, H, I, M, O, N, F, G, I, H]"
168,168,I,artificial,I,complete,"112 [B, A, C, E, D, F, G, H, I]"
169,169,H,artificial,H,complete,"112 [B, A, C, E, D, F, G, H, I]"
170,170,F,artificial,F,complete,"112 [B, A, C, E, D, F, G, H, I]"
171,171,D,artificial,D_Dupli,complete,"112 [B, A, C, E, D, F, G, H, I]"
172,172,E,artificial,D_Dupli,complete,"112 [B, A, C, E, D, F, G, H, I]"
173,173,C,artificial,D_Dupli,complete,"112 [B, A, C, E, D, F, G, H, I]"
174,174,A,artificial,A,complete,"112 [B, A, C, E, D, F, G, H, I]"
175,175,B,artificial,D_Dupli,complete,"112 [B, A, C, E, D, F, G, H, I]"
176,176,G,artificial,G,complete,"112 [B, A, C, E, D, F, G, H, I]"
177,177,D,artificial,D_Dupli,complete,"113 [B, A, C, D, E, F, G, I, H]"
178,178,H,artificial,H,complete,"113 [B, A, C, D, E, F, G, I, H]"
179,179,I,artificial,I,complete,"113 [B, A, C, D, E, F, G, I, H]"
180,180,B,artificial,D_Dupli,complete,"113 [B, A, C, D, E, F, G, I, H]"
181,181,A,artificial,A,complete,"113 [B, A, C, D, E, F, G, I, H]"
182,182,C,artificial,D_Dupli,complete,"113 [B, A, C, D, E, F, G, I, H]"
183,183,G,artificial,G,complete,"113 [B, A, C, D, E, F, G, I, H]"
184,184,E,artificial,D_Dupli,complete,"113 [B, A, C, D, E, F, G, I, H]"
185,185,F,artificial,F,complete,"113 [B, A, C, D, E, F, G, I, H]"
186,186,F,artificial,F,complete,"114 [B, A, D, C, E, F, G, H, I]"
187,187,E,artificial,D_Dupli,complete,"114 [B, A, D, C, E, F, G, H, I]"
188,188,C,artificial,D_Dupli,complete,"114 [B, A, D, C, E, F, G, H, I]"
189,189,D,artificial,D_Dupli,complete,"114 [B, A, D, C, E, F, G, H, I]"
190,190,A,artificial,A,complete,"114 [B, A, D, C, E, F, G, H, I]"
191,191,B,artificial,D_Dupli,complete,"114 [B, A, D, C, E, F, G, H, I]"
192,192,H,artificial,H,complete,"114 [B, A, D, C, E, F, G, H, I]"
193,193,G,artificial,G,complete,"114 [B, A, D, C, E, F, G, H, I]"
194,194,I,artificial,I,complete,"114 [B, A, D, C, E, F, G, H, I]"
195,195,H,artificial,H,complete,"115 [A, B, E, D, C, F, G, H, I]"
196,196,G,artificial,G,complete,"115 [A, B, E, D, C, F, G, H, I]"
197,197,F,artificial,F,complete,"115 [A, B, E, D, C, F, G, H, I]"
198,198,C,artificial,D_Dupli,complete,"115 [A, B, E, D, C, F, G, H, I]"
199,199,D,artificial,D_Dupli,complete,"115 [A, B, E, D, C, F, G, H, I]"
200,200,E,artificial,D_Dupli,complete,"115 [A, B, E, D, C, F, G, H, I]"
201,201,B,artificial,D_Dupli,complete,"115 [A, B, E, D, C, F, G, H, I]"
202,202,A,artificial,A,complete,"115 [A, B, E, D, C, F, G, H, I]"
203,203,I,artificial,I,complete,"115 [A, B, E, D, C, F, G, H, I]"
204,204,A,artificial,A,complete,"116 [B, A, C, D, E, F, G, I, H]"
205,205,H,artificial,H,complete,"116 [B, A, C, D, E, F, G, I, H]"
206,206,I,artificial,I,complete,"116 [B, A, C, D, E, F, G, I, H]"
207,207,G,artificial,G,complete,"116 [B, A, C, D, E, F, G, I, H]"
208,208,F,artificial,F,complete,"116 [B, A, C, D, E, F, G, I, H]"
209,209,E,artificial,D_Dupli,complete,"116 [B, A, C, D, E, F, G, I, H]"
210,210,D,artificial,D_Dupli,complete,"116 [B, A, C, D, E, F, G, I, H]"
211,211,C,artificial,D_Dupli,complete,"116 [B, A, C, D, E, F, G, I, H]"
212,212,B,artificial,D_Dupli,complete,"116 [B, A, C, D, E, F, G, I, H]"
213,213,G,artificial,G,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
214,214,M,artificial,M,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
215,215,I,artificial,I,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
216,216,H,artificial,H,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
217,217,N,artificial,N,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
218,218,O,artificial,O,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
219,219,F,artificial,F,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
220,220,G,artificial,G,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
221,221,H,artificial,H,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
222,222,I,artificial,I,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
223,223,F,artificial,F,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
224,224,D,artificial,D_Dupli,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
225,225,C,artificial,D_Dupli,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
226,226,E,artificial,D_Dupli,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
227,227,A,artificial,A,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
228,228,B,artificial,D_Dupli,complete,"117 [B, A, E, C, D, F, G, I, H, M, N, O, F, G, H, I]"
229,229,G,artificial,G,complete,"118 [B, A, E, D, C, F, G, I, H]"
230,230,F,artificial,F,complete,"118 [B, A, E, D, C, F, G, I, H]"
231,231,C,artificial,D_Dupli,complete,"118 [B, A, E, D, C, F, G, I, H]"
232,232,D,artificial,D_Dupli,complete,"118 [B, A, E, D, C, F, G, I, H]"
233,233,E,artificial,D_Dupli,complete,"118 [B, A, E, D, C, F, G, I, H]"
234,234,A,artificial,A,complete,"118 [B, A, E, D, C, F, G, I, H]"
235,235,B,artificial,D_Dupli,complete,"118 [B, A, E, D, C, F, G, I, H]"
236,236,H,artificial,H,complete,"118 [B, A, E, D, C, F, G, I, H]"
237,237,I,artificial,I,complete,"118 [B, A, E, D, C, F, G, I, H]"
238,238,I,artificial,I,complete,"119 [A, B, D, E, C, F, G, H, I]"
239,239,G,artificial,G,complete,"119 [A, B, D, E, C, F, G, H, I]"
240,240,F,artificial,F,complete,"119 [A, B, D, E, C, F, G, H, I]"
241,241,C,artificial,D_Dupli,complete,"119 [A, B, D, E, C, F, G, H, I]"
242,242,E,artificial,D_Dupli,complete,"119 [A, B, D, E, C, F, G, H, I]"
243,243,A,artificial,A,complete,"119 [A, B, D, E, C, F, G, H, I]"
244,244,D,artificial,D_Dupli,complete,"119 [A, B, D, E, C, F, G, H, I]"
245,245,B,artificial,D_Dupli,complete,"119 [A, B, D, E, C, F, G, H, I]"
246,246,H,artificial,H,complete,"119 [A, B, D, E, C, F, G, H, I]"
247,247,B,artificial,D_Dupli,complete,"12 [B, A, E, C, D, F, G, H, I]"
248,248,I,artificial,I,complete,"12 [B, A, E, C, D, F, G, H, I]"
249,249,H,artificial,H,complete,"12 [B, A, E, C, D, F, G, H, I]"
250,250,G,artificial,G,complete,"12 [B, A, E, C, D, F, G, H, I]"
251,251,F,artificial,F,complete,"12 [B, A, E, C, D, F, G, H, I]"
252,252,D,artificial,D_Dupli,complete,"12 [B, A, E, C, D, F, G, H, I]"
253,253,C,artificial,D_Dupli,complete,"12 [B, A, E, C, D, F, G, H, I]"
254,254,E,artificial,D_Dupli,complete,"12 [B, A, E, C, D, F, G, H, I]"
255,255,A,artificial,A,complete,"12 [B, A, E, C, D, F, G, H, I]"
256,256,I,artificial,I,complete,"120 [B, A, E, C, D, F, G, I, H]"
257,257,G,artificial,G,complete,"120 [B, A, E, C, D, F, G, I, H]"
258,258,H,artificial,H,complete,"120 [B, A, E, C, D, F, G, I, H]"
259,259,F,artificial,F,complete,"120 [B, A, E, C, D, F, G, I, H]"
260,260,E,artificial,D_Dupli,complete,"120 [B, A, E, C, D, F, G, I, H]"
261,261,C,artificial,D_Dupli,complete,"120 [B, A, E, C, D, F, G, I, H]"
262,262,A,artificial,A,complete,"120 [B, A, E, C, D, F, G, I, H]"
263,263,B,artificial,D_Dupli,complete,"120 [B, A, E, C, D, F, G, I, H]"
264,264,D,artificial,D_Dupli,complete,"120 [B, A, E, C, D, F, G, I, H]"
265,265,I,artificial,I,complete,"121 [B, A, D, E, C, F, G, H, I]"
266,266,H,artificial,H,complete,"121 [B, A, D, E, C, F, G, H, I]"
267,267,G,artificial,G,complete,"121 [B, A, D, E, C, F, G, H, I]"
268,268,F,artificial,F,complete,"121 [B, A, D, E, C, F, G, H, I]"
269,269,C,artificial,D_Dupli,complete,"121 [B, A, D, E, C, F, G, H, I]"
270,270,E,artificial,D_Dupli,complete,"121 [B, A, D, E, C, F, G, H, I]"
271,271,D,artificial,D_Dupli,complete,"121 [B, A, D, E, C, F, G, H, I]"
272,272,A,artificial,A,complete,"121 [B, A, D, E, C, F, G, H, I]"
273,273,B,artificial,D_Dupli,complete,"121 [B, A, D, E, C, F, G, H, I]"
274,274,H,artificial,H,complete,"122 [B, A, D, E, C, F, G, I, H]"
275,275,I,artificial,I,complete,"122 [B, A, D, E, C, F, G, I, H]"
276,276,G,artificial,G,complete,"122 [B, A, D, E, C, F, G, I, H]"
277,277,C,artificial,D_Dupli,complete,"122 [B, A, D, E, C, F, G, I, H]"
278,278,F,artificial,F,complete,"122 [B, A, D, E, C, F, G, I, H]"
279,279,D,artificial,D_Dupli,complete,"122 [B, A, D, E, C, F, G, I, H]"
280,280,A,artificial,A,complete,"122 [B, A, D, E, C, F, G, I, H]"
281,281,B,artificial,D_Dupli,complete,"122 [B, A, D, E, C, F, G, I, H]"
282,282,E,artificial,D_Dupli,complete,"122 [B, A, D, E, C, F, G, I, H]"
283,283,F,artificial,F,complete,"123 [B, A, D, E, C, F, G, I, H]"
284,284,B,artificial,D_Dupli,complete,"123 [B, A, D, E, C, F, G, I, H]"
285,285,A,artificial,A,complete,"123 [B, A, D, E, C, F, G, I, H]"
286,286,D,artificial,D_Dupli,complete,"123 [B, A, D, E, C, F, G, I, H]"
287,287,E,artificial,D_Dupli,complete,"123 [B, A, D, E, C, F, G, I, H]"
288,288,C,artificial,D_Dupli,complete,"123 [B, A, D, E, C, F, G, I, H]"
289,289,G,artificial,G,complete,"123 [B, A, D, E, C, F, G, I, H]"
290,290,I,artificial,I,complete,"123 [B, A, D, E, C, F, G, I, H]"
291,291,H,artificial,H,complete,"123 [B, A, D, E, C, F, G, I, H]"
292,292,N,artificial,N,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
293,293,H,artificial,H,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
294,294,I,artificial,I,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
295,295,G,artificial,G,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
296,296,F,artificial,F,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
297,297,I,artificial,I,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
298,298,H,artificial,H,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
299,299,M,artificial,M,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
300,300,F,artificial,F,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
301,301,E,artificial,D_Dupli,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
302,302,D,artificial,D_Dupli,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
303,303,C,artificial,D_Dupli,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
304,304,G,artificial,G,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
305,305,B,artificial,D_Dupli,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
306,306,O,artificial,O,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
307,307,A,artificial,A,complete,"124 [B, A, C, D, E, F, G, H, I, M, O, N, F, G, I, H]"
308,308,I,artificial,I,complete,"125 [B, A, C, E, D, F, G, I, H]"
309,309,F,artificial,F,complete,"125 [B, A, C, E, D, F, G, I, H]"
310,310,D,artificial,D_Dupli,complete,"125 [B, A, C, E, D, F, G, I, H]"
311,311,H,artificial,H,complete,"125 [B, A, C, E, D, F, G, I, H]"
312,312,C,artificial,D_Dupli,complete,"125 [B, A, C, E, D, F, G, I, H]"
313,313,A,artificial,A,complete,"125 [B, A, C, E, D, F, G, I, H]"
314,314,B,artificial,D_Dupli,complete,"125 [B, A, C, E, D, F, G, I, H]"
315,315,E,artificial,D_Dupli,complete,"125 [B, A, C, E, D, F, G, I, H]"
316,316,G,artificial,G,complete,"125 [B, A, C, E, D, F, G, I, H]"
