EventID,case:concept:name,concept:name,time:timestamp
114,Case_775,B1,2023-01-01 11:31:00+00:00
115,Case_775,D,2023-01-01 11:32:00+00:00
116,Case_365,A,2023-01-01 11:51:00+00:00
117,Case_775,B2,2023-01-01 11:56:00+00:00
118,Case_402,A,2023-01-01 12:01:00+00:00
119,Case_402,E1,2023-01-01 12:14:00+00:00
120,Case_342,A,2023-01-01 12:18:00+00:00
121,Case_775,A,2023-01-01 12:19:00+00:00
122,Case_139,A,2023-01-01 12:32:00+00:00
123,Case_775,F,2023-01-01 12:38:00+00:00
124,Case_342,F,2023-01-01 12:45:00+00:00
125,Case_139,C,2023-01-01 12:46:00+00:00
126,Case_139,D,2023-01-01 12:51:00+00:00
127,Case_139,B1,2023-01-01 12:52:00+00:00
128,Case_402,E2,2023-01-01 12:56:00+00:00
129,Case_402,A,2023-01-01 13:14:00+00:00
130,Case_843,A,2023-01-01 13:23:00+00:00
131,Case_342,A,2023-01-01 13:24:00+00:00
132,Case_139,B2,2023-01-01 13:28:00+00:00
133,Case_775,A,2023-01-01 13:40:00+00:00
134,Case_843,C,2023-01-01 13:45:00+00:00
135,Case_843,D,2023-01-01 13:47:00+00:00
136,Case_730,A,2023-01-01 13:49:00+00:00
137,Case_843,B1,2023-01-01 13:51:00+00:00
138,Case_730,C,2023-01-01 13:59:00+00:00
139,Case_139,A,2023-01-01 13:59:00+00:00
140,Case_730,D,2023-01-01 14:03:00+00:00
141,Case_730,B1,2023-01-01 14:06:00+00:00
142,Case_843,B2,2023-01-01 14:10:00+00:00
143,Case_139,F,2023-01-01 14:14:00+00:00
144,Case_730,B2,2023-01-01 14:38:00+00:00
145,Case_843,A,2023-01-01 14:54:00+00:00
146,Case_843,E1,2023-01-01 15:18:00+00:00
147,Case_730,A,2023-01-01 15:26:00+00:00
148,Case_831,A,2023-01-01 15:27:00+00:00
149,Case_139,A,2023-01-01 15:28:00+00:00
150,Case_730,F,2023-01-01 15:38:00+00:00
151,Case_843,E2,2023-01-01 15:52:00+00:00
152,Case_831,C,2023-01-01 15:55:00+00:00
153,Case_831,D,2023-01-01 15:59:00+00:00
154,Case_831,B1,2023-01-01 15:59:00+00:00
155,Case_271,A,2023-01-01 16:07:00+00:00
156,Case_843,A,2023-01-01 16:15:00+00:00
157,Case_271,C,2023-01-01 16:20:00+00:00
158,Case_271,D,2023-01-01 16:24:00+00:00
159,Case_271,B1,2023-01-01 16:24:00+00:00
160,Case_831,B2,2023-01-01 16:28:00+00:00
161,Case_730,A,2023-01-01 16:35:00+00:00
162,Case_271,B2,2023-01-01 16:57:00+00:00
163,Case_831,A,2023-01-01 17:08:00+00:00
164,Case_831,E1,2023-01-01 17:24:00+00:00
165,Case_271,A,2023-01-01 17:35:00+00:00
166,Case_271,F,2023-01-01 17:54:00+00:00
167,Case_831,E2,2023-01-01 18:11:00+00:00
168,Case_831,A,2023-01-01 18:41:00+00:00
169,Case_788,A,2023-01-01 18:50:00+00:00
170,Case_271,A,2023-01-01 19:11:00+00:00
171,Case_788,C,2023-01-01 19:12:00+00:00
172,Case_788,D,2023-01-01 19:13:00+00:00
173,Case_788,B1,2023-01-01 19:19:00+00:00
174,Case_788,B2,2023-01-01 19:58:00+00:00
175,Case_788,A,2023-01-01 20:21:00+00:00
176,Case_788,E1,2023-01-01 20:50:00+00:00
177,Case_674,A,2023-01-01 21:10:00+00:00
178,Case_171,A,2023-01-01 21:16:00+00:00
179,Case_622,A,2023-01-01 21:20:00+00:00
180,Case_674,C,2023-01-01 21:27:00+00:00
181,Case_674,D,2023-01-01 21:30:00+00:00
182,Case_171,C,2023-01-01 21:30:00+00:00
183,Case_171,D,2023-01-01 21:31:00+00:00
184,Case_674,B1,2023-01-01 21:34:00+00:00
185,Case_622,C,2023-01-01 21:34:00+00:00
186,Case_788,E2,2023-01-01 21:36:00+00:00
187,Case_171,B1,2023-01-01 21:37:00+00:00
188,Case_622,D,2023-01-01 21:37:00+00:00
189,Case_622,B1,2023-01-01 21:41:00+00:00
190,Case_171,B2,2023-01-01 21:53:00+00:00
191,Case_674,B2,2023-01-01 21:55:00+00:00
192,Case_788,A,2023-01-01 22:00:00+00:00
193,Case_622,B2,2023-01-01 22:09:00+00:00
194,Case_686,A,2023-01-01 22:15:00+00:00
195,Case_686,C,2023-01-01 22:36:00+00:00
196,Case_686,B1,2023-01-01 22:39:00+00:00
197,Case_953,A,2023-01-01 22:39:00+00:00
198,Case_171,A,2023-01-01 22:40:00+00:00
199,Case_622,A,2023-01-01 22:40:00+00:00
200,Case_686,D,2023-01-01 22:41:00+00:00
201,Case_953,C,2023-01-01 22:52:00+00:00
202,Case_953,D,2023-01-01 22:53:00+00:00
203,Case_674,A,2023-01-01 22:54:00+00:00
204,Case_953,B1,2023-01-01 22:55:00+00:00
205,Case_622,F,2023-01-01 22:56:00+00:00
206,Case_208,A,2023-01-01 22:58:00+00:00
207,Case_686,B2,2023-01-01 23:02:00+00:00
208,Case_171,F,2023-01-01 23:04:00+00:00
209,Case_208,C,2023-01-01 23:08:00+00:00
210,Case_674,E1,2023-01-01 23:12:00+00:00
211,Case_208,D,2023-01-01 23:13:00+00:00
212,Case_208,B1,2023-01-01 23:13:00+00:00
213,Case_953,B2,2023-01-01 23:37:00+00:00
214,Case_208,B2,2023-01-01 23:39:00+00:00
215,Case_686,A,2023-01-01 23:52:00+00:00
216,Case_674,E2,2023-01-01 23:55:00+00:00
217,Case_171,A,2023-01-02 00:02:00+00:00
218,Case_622,A,2023-01-02 00:05:00+00:00
219,Case_686,E1,2023-01-02 00:11:00+00:00
220,Case_208,A,2023-01-02 00:15:00+00:00
221,Case_953,A,2023-01-02 00:22:00+00:00
222,Case_674,A,2023-01-02 00:34:00+00:00
223,Case_686,E2,2023-01-02 00:41:00+00:00
224,Case_208,F,2023-01-02 00:43:00+00:00
225,Case_953,F,2023-01-02 00:49:00+00:00
226,Case_686,A,2023-01-02 01:21:00+00:00
227,Case_953,A,2023-01-02 01:49:00+00:00
228,Case_449,A,2023-01-02 01:50:00+00:00
229,Case_208,A,2023-01-02 01:58:00+00:00
230,Case_449,C,2023-01-02 02:11:00+00:00
231,Case_449,B1,2023-01-02 02:13:00+00:00
232,Case_449,D,2023-01-02 02:13:00+00:00
233,Case_542,A,2023-01-02 02:40:00+00:00
234,Case_449,B2,2023-01-02 02:47:00+00:00
235,Case_542,C,2023-01-02 02:52:00+00:00
236,Case_542,D,2023-01-02 02:56:00+00:00
237,Case_542,B1,2023-01-02 02:56:00+00:00
238,Case_431,A,2023-01-02 03:04:00+00:00
239,Case_3,A,2023-01-02 03:19:00+00:00
240,Case_431,C,2023-01-02 03:23:00+00:00
241,Case_431,D,2023-01-02 03:24:00+00:00
242,Case_431,B1,2023-01-02 03:26:00+00:00
243,Case_542,B2,2023-01-02 03:31:00+00:00
244,Case_449,A,2023-01-02 03:42:00+00:00
245,Case_3,C,2023-01-02 03:46:00+00:00
246,Case_3,D,2023-01-02 03:51:00+00:00
247,Case_3,B1,2023-01-02 03:53:00+00:00
248,Case_706,A,2023-01-02 04:02:00+00:00
249,Case_449,E1,2023-01-02 04:02:00+00:00
250,Case_431,B2,2023-01-02 04:09:00+00:00
251,Case_3,B2,2023-01-02 04:12:00+00:00
252,Case_948,A,2023-01-02 04:15:00+00:00
253,Case_542,A,2023-01-02 04:17:00+00:00
254,Case_449,E2,2023-01-02 04:29:00+00:00
255,Case_542,F,2023-01-02 04:30:00+00:00
256,Case_706,C,2023-01-02 04:31:00+00:00
257,Case_706,D,2023-01-02 04:34:00+00:00
258,Case_948,C,2023-01-02 04:36:00+00:00
259,Case_706,B1,2023-01-02 04:38:00+00:00
260,Case_948,D,2023-01-02 04:39:00+00:00
261,Case_948,B1,2023-01-02 04:43:00+00:00
262,Case_20,A,2023-01-02 04:59:00+00:00
263,Case_431,A,2023-01-02 05:03:00+00:00
264,Case_3,A,2023-01-02 05:03:00+00:00
265,Case_449,A,2023-01-02 05:04:00+00:00
266,Case_706,B2,2023-01-02 05:04:00+00:00
267,Case_542,A,2023-01-02 05:07:00+00:00
268,Case_948,B2,2023-01-02 05:09:00+00:00
269,Case_431,F,2023-01-02 05:17:00+00:00
270,Case_20,C,2023-01-02 05:23:00+00:00
271,Case_20,D,2023-01-02 05:25:00+00:00
272,Case_649,A,2023-01-02 05:27:00+00:00
273,Case_20,B1,2023-01-02 05:30:00+00:00
274,Case_3,F,2023-01-02 05:33:00+00:00
275,Case_653,A,2023-01-02 05:36:00+00:00
276,Case_706,A,2023-01-02 05:37:00+00:00
277,Case_948,A,2023-01-02 05:38:00+00:00
278,Case_653,C,2023-01-02 05:50:00+00:00
279,Case_653,B1,2023-01-02 05:54:00+00:00
280,Case_649,C,2023-01-02 05:55:00+00:00
281,Case_653,D,2023-01-02 05:55:00+00:00
282,Case_649,D,2023-01-02 05:56:00+00:00
283,Case_948,F,2023-01-02 06:00:00+00:00
284,Case_649,B1,2023-01-02 06:01:00+00:00
285,Case_706,F,2023-01-02 06:01:00+00:00
286,Case_20,B2,2023-01-02 06:04:00+00:00
287,Case_462,A,2023-01-02 06:08:00+00:00
288,Case_431,A,2023-01-02 06:15:00+00:00
289,Case_462,C,2023-01-02 06:21:00+00:00
290,Case_462,D,2023-01-02 06:22:00+00:00
291,Case_649,B2,2023-01-02 06:22:00+00:00
292,Case_462,B1,2023-01-02 06:23:00+00:00
293,Case_20,A,2023-01-02 06:31:00+00:00
294,Case_653,B2,2023-01-02 06:36:00+00:00
295,Case_3,A,2023-01-02 06:39:00+00:00
296,Case_948,A,2023-01-02 06:42:00+00:00
297,Case_20,E1,2023-01-02 06:42:00+00:00
298,Case_462,B2,2023-01-02 06:49:00+00:00
299,Case_706,A,2023-01-02 06:51:00+00:00
300,Case_20,E2,2023-01-02 07:09:00+00:00
301,Case_653,A,2023-01-02 07:10:00+00:00
302,Case_649,A,2023-01-02 07:19:00+00:00
303,Case_762,A,2023-01-02 07:20:00+00:00
304,Case_653,E1,2023-01-02 07:24:00+00:00
305,Case_20,A,2023-01-02 07:28:00+00:00
306,Case_462,A,2023-01-02 07:33:00+00:00
307,Case_649,E1,2023-01-02 07:35:00+00:00
308,Case_762,C,2023-01-02 07:38:00+00:00
309,Case_762,D,2023-01-02 07:40:00+00:00
310,Case_640,A,2023-01-02 07:42:00+00:00
311,Case_762,B1,2023-01-02 07:43:00+00:00
312,Case_462,F,2023-01-02 08:01:00+00:00
313,Case_649,E2,2023-01-02 08:02:00+00:00
314,Case_640,C,2023-01-02 08:08:00+00:00
315,Case_653,E2,2023-01-02 08:09:00+00:00
316,Case_640,D,2023-01-02 08:09:00+00:00
317,Case_640,B1,2023-01-02 08:14:00+00:00
318,Case_762,B2,2023-01-02 08:14:00+00:00
319,Case_649,A,2023-01-02 08:27:00+00:00
320,Case_653,A,2023-01-02 08:29:00+00:00
321,Case_14,A,2023-01-02 08:32:00+00:00
322,Case_640,B2,2023-01-02 08:36:00+00:00
323,Case_462,A,2023-01-02 08:47:00+00:00
324,Case_762,A,2023-01-02 08:52:00+00:00
325,Case_14,C,2023-01-02 08:58:00+00:00
326,Case_14,B1,2023-01-02 09:00:00+00:00
327,Case_14,D,2023-01-02 09:02:00+00:00
328,Case_762,F,2023-01-02 09:04:00+00:00
329,Case_14,B2,2023-01-02 09:16:00+00:00
330,Case_640,A,2023-01-02 09:35:00+00:00
331,Case_640,E1,2023-01-02 09:46:00+00:00
332,Case_683,A,2023-01-02 09:53:00+00:00
333,Case_762,A,2023-01-02 10:02:00+00:00
334,Case_14,A,2023-01-02 10:08:00+00:00
335,Case_220,A,2023-01-02 10:18:00+00:00
336,Case_683,C,2023-01-02 10:18:00+00:00
337,Case_683,B1,2023-01-02 10:20:00+00:00
338,Case_683,D,2023-01-02 10:22:00+00:00
339,Case_14,F,2023-01-02 10:30:00+00:00
340,Case_640,E2,2023-01-02 10:35:00+00:00
341,Case_13,A,2023-01-02 10:42:00+00:00
342,Case_683,B2,2023-01-02 10:45:00+00:00
343,Case_220,C,2023-01-02 10:47:00+00:00
344,Case_220,D,2023-01-02 10:52:00+00:00
345,Case_220,B1,2023-01-02 10:54:00+00:00
346,Case_93,A,2023-01-02 11:03:00+00:00
347,Case_14,A,2023-01-02 11:11:00+00:00
348,Case_640,A,2023-01-02 11:11:00+00:00
349,Case_13,C,2023-01-02 11:11:00+00:00
350,Case_13,D,2023-01-02 11:12:00+00:00
351,Case_13,B1,2023-01-02 11:18:00+00:00
352,Case_220,B2,2023-01-02 11:19:00+00:00
353,Case_93,C,2023-01-02 11:26:00+00:00
354,Case_93,D,2023-01-02 11:30:00+00:00
355,Case_93,B1,2023-01-02 11:31:00+00:00
356,Case_13,B2,2023-01-02 11:36:00+00:00
357,Case_905,A,2023-01-02 11:39:00+00:00
358,Case_683,A,2023-01-02 11:43:00+00:00
359,Case_905,C,2023-01-02 11:57:00+00:00
360,Case_683,F,2023-01-02 11:57:00+00:00
361,Case_905,D,2023-01-02 11:59:00+00:00
362,Case_905,B1,2023-01-02 12:02:00+00:00
363,Case_220,A,2023-01-02 12:03:00+00:00
364,Case_93,B2,2023-01-02 12:09:00+00:00
365,Case_905,B2,2023-01-02 12:19:00+00:00
366,Case_13,A,2023-01-02 12:31:00+00:00
367,Case_220,E1,2023-01-02 12:32:00+00:00
368,Case_93,A,2023-01-02 12:35:00+00:00
369,Case_13,F,2023-01-02 12:47:00+00:00
370,Case_683,A,2023-01-02 12:49:00+00:00
371,Case_93,F,2023-01-02 12:55:00+00:00
372,Case_220,E2,2023-01-02 13:06:00+00:00
373,Case_905,A,2023-01-02 13:07:00+00:00
374,Case_905,F,2023-01-02 13:19:00+00:00
375,Case_13,A,2023-01-02 13:36:00+00:00
376,Case_220,A,2023-01-02 13:37:00+00:00
377,Case_905,A,2023-01-02 14:00:00+00:00
378,Case_93,A,2023-01-02 14:12:00+00:00
379,Case_407,A,2023-01-02 15:21:00+00:00
380,Case_407,C,2023-01-02 15:42:00+00:00
381,Case_407,B1,2023-01-02 15:44:00+00:00
382,Case_407,D,2023-01-02 15:44:00+00:00
383,Case_982,A,2023-01-02 16:04:00+00:00
384,Case_407,B2,2023-01-02 16:17:00+00:00
385,Case_982,C,2023-01-02 16:27:00+00:00
386,Case_982,B1,2023-01-02 16:29:00+00:00
387,Case_982,D,2023-01-02 16:31:00+00:00
388,Case_407,A,2023-01-02 17:12:00+00:00
389,Case_982,B2,2023-01-02 17:14:00+00:00
390,Case_407,F,2023-01-02 17:39:00+00:00
391,Case_468,A,2023-01-02 17:47:00+00:00
392,Case_982,A,2023-01-02 17:52:00+00:00
393,Case_468,C,2023-01-02 18:15:00+00:00
394,Case_468,D,2023-01-02 18:17:00+00:00
395,Case_440,A,2023-01-02 18:17:00+00:00
396,Case_982,F,2023-01-02 18:21:00+00:00
397,Case_407,A,2023-01-02 18:21:00+00:00
398,Case_468,B1,2023-01-02 18:22:00+00:00
399,Case_440,C,2023-01-02 18:38:00+00:00
400,Case_440,B1,2023-01-02 18:41:00+00:00
401,Case_440,D,2023-01-02 18:41:00+00:00
402,Case_468,B2,2023-01-02 18:52:00+00:00
403,Case_982,A,2023-01-02 19:02:00+00:00
404,Case_440,B2,2023-01-02 19:21:00+00:00
405,Case_321,A,2023-01-02 19:24:00+00:00
406,Case_468,A,2023-01-02 19:26:00+00:00
407,Case_943,A,2023-01-02 19:32:00+00:00
408,Case_417,A,2023-01-02 19:34:00+00:00
409,Case_468,F,2023-01-02 19:39:00+00:00
410,Case_943,C,2023-01-02 19:51:00+00:00
411,Case_943,B1,2023-01-02 19:53:00+00:00
412,Case_321,C,2023-01-02 19:53:00+00:00
413,Case_943,D,2023-01-02 19:54:00+00:00
414,Case_956,A,2023-01-02 19:56:00+00:00
415,Case_682,A,2023-01-02 19:58:00+00:00
416,Case_321,D,2023-01-02 19:58:00+00:00
417,Case_321,B1,2023-01-02 19:59:00+00:00
418,Case_417,C,2023-01-02 20:04:00+00:00
419,Case_417,D,2023-01-02 20:05:00+00:00
420,Case_440,A,2023-01-02 20:08:00+00:00
421,Case_682,C,2023-01-02 20:09:00+00:00
422,Case_417,B1,2023-01-02 20:10:00+00:00
423,Case_682,D,2023-01-02 20:10:00+00:00
424,Case_943,B2,2023-01-02 20:13:00+00:00
425,Case_682,B1,2023-01-02 20:14:00+00:00
426,Case_956,C,2023-01-02 20:17:00+00:00
427,Case_956,D,2023-01-02 20:20:00+00:00
428,Case_956,B1,2023-01-02 20:23:00+00:00
429,Case_417,B2,2023-01-02 20:31:00+00:00
430,Case_440,E1,2023-01-02 20:35:00+00:00
431,Case_321,B2,2023-01-02 20:43:00+00:00
432,Case_468,A,2023-01-02 20:49:00+00:00
433,Case_682,B2,2023-01-02 20:50:00+00:00
434,Case_721,A,2023-01-02 20:51:00+00:00
435,Case_956,B2,2023-01-02 20:57:00+00:00
436,Case_721,C,2023-01-02 21:07:00+00:00
437,Case_721,B1,2023-01-02 21:11:00+00:00
438,Case_721,D,2023-01-02 21:12:00+00:00
439,Case_417,A,2023-01-02 21:17:00+00:00
440,Case_943,A,2023-01-02 21:19:00+00:00
441,Case_321,A,2023-01-02 21:20:00+00:00
442,Case_440,E2,2023-01-02 21:21:00+00:00
443,Case_321,F,2023-01-02 21:30:00+00:00
444,Case_956,A,2023-01-02 21:34:00+00:00
445,Case_682,A,2023-01-02 21:37:00+00:00
446,Case_721,B2,2023-01-02 21:39:00+00:00
447,Case_417,F,2023-01-02 21:40:00+00:00
448,Case_414,A,2023-01-02 21:41:00+00:00
449,Case_956,F,2023-01-02 21:45:00+00:00
450,Case_943,E1,2023-01-02 21:47:00+00:00
451,Case_440,A,2023-01-02 21:55:00+00:00
452,Case_682,E1,2023-01-02 22:02:00+00:00
453,Case_414,C,2023-01-02 22:07:00+00:00
454,Case_943,E2,2023-01-02 22:09:00+00:00
455,Case_414,B1,2023-01-02 22:10:00+00:00
456,Case_414,D,2023-01-02 22:10:00+00:00
457,Case_417,A,2023-01-02 22:25:00+00:00
458,Case_721,A,2023-01-02 22:25:00+00:00
459,Case_943,A,2023-01-02 22:28:00+00:00
460,Case_682,E2,2023-01-02 22:35:00+00:00
461,Case_414,B2,2023-01-02 22:37:00+00:00
462,Case_721,E1,2023-01-02 22:44:00+00:00
463,Case_321,A,2023-01-02 22:49:00+00:00
464,Case_682,A,2023-01-02 22:58:00+00:00
465,Case_956,A,2023-01-02 22:59:00+00:00
466,Case_721,E2,2023-01-02 23:22:00+00:00
467,Case_46,A,2023-01-02 23:27:00+00:00
468,Case_414,A,2023-01-02 23:35:00+00:00
469,Case_46,C,2023-01-02 23:43:00+00:00
470,Case_46,D,2023-01-02 23:45:00+00:00
471,Case_414,F,2023-01-02 23:46:00+00:00
472,Case_46,B1,2023-01-02 23:47:00+00:00
473,Case_721,A,2023-01-02 23:52:00+00:00
474,Case_391,A,2023-01-03 00:09:00+00:00
475,Case_46,B2,2023-01-03 00:11:00+00:00
476,Case_391,C,2023-01-03 00:24:00+00:00
477,Case_482,A,2023-01-03 00:28:00+00:00
478,Case_391,D,2023-01-03 00:28:00+00:00
479,Case_391,B1,2023-01-03 00:31:00+00:00
480,Case_482,C,2023-01-03 00:40:00+00:00
481,Case_414,A,2023-01-03 00:40:00+00:00
482,Case_482,D,2023-01-03 00:41:00+00:00
483,Case_482,B1,2023-01-03 00:42:00+00:00
484,Case_391,B2,2023-01-03 00:53:00+00:00
485,Case_46,A,2023-01-03 01:02:00+00:00
486,Case_482,B2,2023-01-03 01:11:00+00:00
487,Case_46,F,2023-01-03 01:15:00+00:00
488,Case_482,A,2023-01-03 01:35:00+00:00
489,Case_835,A,2023-01-03 01:42:00+00:00
490,Case_391,A,2023-01-03 01:45:00+00:00
491,Case_482,E1,2023-01-03 01:55:00+00:00
492,Case_60,A,2023-01-03 02:03:00+00:00
493,Case_835,C,2023-01-03 02:12:00+00:00
494,Case_391,E1,2023-01-03 02:12:00+00:00
495,Case_835,D,2023-01-03 02:15:00+00:00
496,Case_46,A,2023-01-03 02:17:00+00:00
497,Case_835,B1,2023-01-03 02:17:00+00:00
498,Case_60,C,2023-01-03 02:24:00+00:00
499,Case_60,B1,2023-01-03 02:27:00+00:00
500,Case_543,A,2023-01-03 02:28:00+00:00
501,Case_60,D,2023-01-03 02:28:00+00:00
502,Case_835,B2,2023-01-03 02:32:00+00:00
503,Case_482,E2,2023-01-03 02:33:00+00:00
504,Case_543,C,2023-01-03 02:48:00+00:00
505,Case_543,B1,2023-01-03 02:51:00+00:00
506,Case_543,D,2023-01-03 02:51:00+00:00
507,Case_60,B2,2023-01-03 02:55:00+00:00
508,Case_391,E2,2023-01-03 02:57:00+00:00
509,Case_482,A,2023-01-03 03:00:00+00:00
510,Case_543,B2,2023-01-03 03:08:00+00:00
511,Case_835,A,2023-01-03 03:12:00+00:00
512,Case_391,A,2023-01-03 03:23:00+00:00
513,Case_835,E1,2023-01-03 03:27:00+00:00
514,Case_124,A,2023-01-03 03:27:00+00:00
515,Case_124,C,2023-01-03 03:43:00+00:00
516,Case_124,D,2023-01-03 03:46:00+00:00
517,Case_124,B1,2023-01-03 03:50:00+00:00
518,Case_60,A,2023-01-03 03:52:00+00:00
519,Case_543,A,2023-01-03 04:05:00+00:00
520,Case_835,E2,2023-01-03 04:06:00+00:00
521,Case_60,E1,2023-01-03 04:14:00+00:00
522,Case_835,A,2023-01-03 04:35:00+00:00
523,Case_543,F,2023-01-03 04:35:00+00:00
524,Case_124,B2,2023-01-03 04:35:00+00:00
525,Case_60,E2,2023-01-03 04:46:00+00:00
526,Case_124,A,2023-01-03 05:10:00+00:00
527,Case_60,A,2023-01-03 05:10:00+00:00
528,Case_124,F,2023-01-03 05:27:00+00:00
529,Case_543,A,2023-01-03 05:42:00+00:00
