EventID,CaseID,Timestamp,Resource,Feature_1,Feature_2,Feature_3,Activity
24,5,2023-01-01 08:24:00,Resource_1,3.6778380549841785,9.075814061540711,6.680467233460476,Activity_0
25,6,2023-01-01 08:25:00,Resource_0,4.427040652134143,8.655367753345033,6.201129431662292,Activity_0
26,6,2023-01-01 08:26:00,Resource_2,4.367678758898873,8.16351823210848,6.196775981505919,Activity_0
27,6,2023-01-01 08:27:00,Resource_2,3.689396547051936,8.111494973958827,6.421605797403776,Activity_0
28,6,2023-01-01 08:28:00,Resource_0,3.489224544165258,8.41050326742262,6.39036711941081,Activity_0
29,6,2023-01-01 08:29:00,Resource_1,3.6578039826684963,8.487811188294927,6.558692055415648,Activity_0
30,7,2023-01-01 08:30:00,Resource_4,2.9833325492181775,8.805923407259424,6.66204356375697,Activity_0
31,7,2023-01-01 08:31:00,Resource_1,5.174339213110342,9.437688381452265,5.91868901642368,Activity_0
32,7,2023-01-01 08:32:00,Resource_2,2.6933385860483425,9.559344625570116,7.711292720468008,Activity_0
33,7,2023-01-01 08:33:00,Resource_4,4.558607345225753,8.158241869667314,6.29780510922025,Activity_0
34,7,2023-01-01 08:34:00,Resource_0,4.645320809806792,9.515343221729985,6.191608049521571,Activity_0
35,8,2023-01-01 08:35:00,Resource_4,3.9811656311599837,8.833230076658134,6.033384927117305,Activity_0
36,8,2023-01-01 08:36:00,Resource_2,3.7344899750920106,9.24793197077809,6.990992598698812,Activity_0
37,8,2023-01-01 08:37:00,Resource_0,3.4669822815436784,8.459031348554626,6.496961574248611,Activity_0
38,8,2023-01-01 08:38:00,Resource_1,3.4830060397507965,9.594147547492803,6.240301812618338,Activity_0
39,8,2023-01-01 08:39:00,Resource_1,3.7816873987648605,9.225938953668868,6.016496300569479,Activity_0
40,9,2023-01-01 08:40:00,Resource_2,3.9492351067509737,9.00806514097058,6.663340758653048,Activity_0
41,9,2023-01-01 08:41:00,Resource_2,4.193516339540785,8.518481722198171,6.208621280354058,Activity_0
42,9,2023-01-01 08:42:00,Resource_3,4.203688939676147,8.967672681600627,6.757174883959395,Activity_0
43,9,2023-01-01 08:43:00,Resource_2,4.115942261616186,8.93232447973347,7.055629175074776,Activity_0
44,9,2023-01-01 08:44:00,Resource_2,4.2261651922612415,8.736930127903081,6.560432991432693,Activity_0
45,10,2023-01-01 08:45:00,Resource_0,2.975433059117173,8.223528596382708,6.960205263103371,Activity_0
46,10,2023-01-01 08:46:00,Resource_2,3.9402896845421833,8.627518691851082,6.40066502868558,Activity_0
47,10,2023-01-01 08:47:00,Resource_3,3.386469479702974,9.230210424981278,7.58032495011343,Activity_0
48,10,2023-01-01 08:48:00,Resource_4,5.079390735876439,8.892667670212642,6.901733059578289,Activity_0
49,10,2023-01-01 08:49:00,Resource_2,3.1935703381817326,9.274436454231367,6.617065779942761,Activity_0
50,11,2023-01-01 08:10:00,Resource_0,7.397702174023656,4.658093114269603,6.102211684123676,Activity_1
51,11,2023-01-01 08:11:00,Resource_4,8.290148670100258,4.353054509507323,6.384738479760959,Activity_1
52,11,2023-01-01 08:12:00,Resource_0,8.101347804947338,4.4421718121055935,6.105214588334589,Activity_1
53,11,2023-01-01 08:13:00,Resource_0,7.695519748853974,3.953833597042271,5.9574604179687904,Activity_1
54,11,2023-01-01 08:14:00,Resource_1,8.481313317824757,4.24915139461259,6.531499352237591,Activity_1
55,12,2023-01-01 08:15:00,Resource_1,7.3930479880339695,3.989236647208105,5.700412197318803,Activity_1
56,12,2023-01-01 08:16:00,Resource_4,8.36937200188444,4.949956178696879,5.734439028573212,Activity_1
57,12,2023-01-01 08:17:00,Resource_1,8.624150725140185,4.083385219169754,5.36803394866145,Activity_1
58,12,2023-01-01 08:18:00,Resource_3,8.190672266207237,6.3432226519753705,6.499388332133185,Activity_1
59,12,2023-01-01 08:19:00,Resource_2,8.500931243144512,3.6365783704293757,7.214117121339653,Activity_1
60,13,2023-01-01 08:20:00,Resource_0,9.090477706390967,3.483224310352136,6.557073171973858,Activity_1
61,13,2023-01-01 08:21:00,Resource_0,7.126790487459386,3.9702967698333986,6.046534453089235,Activity_1
62,13,2023-01-01 08:22:00,Resource_4,7.662505702234228,4.805268408860812,6.190121221208079,Activity_1
63,13,2023-01-01 08:23:00,Resource_2,8.192495651913102,4.229596127102775,5.56833502021851,Activity_1
64,13,2023-01-01 08:24:00,Resource_2,8.614866168530064,4.831239895450447,6.221514715916534,Activity_1
65,14,2023-01-01 08:25:00,Resource_3,8.154185431487578,4.085963674263816,6.6401597441847136,Activity_1
66,14,2023-01-01 08:26:00,Resource_0,7.5043739802236615,4.836859594959225,7.104588615299785,Activity_1
67,14,2023-01-01 08:27:00,Resource_1,7.594440589196834,4.249733361072826,6.05501962353131,Activity_1
68,14,2023-01-01 08:28:00,Resource_4,7.773470884146823,4.314548653909216,6.349473951157734,Activity_1
69,14,2023-01-01 08:29:00,Resource_3,9.055551726059495,3.7534410235800615,7.135800975662525,Activity_1
70,15,2023-01-01 08:30:00,Resource_3,7.3413618390819435,4.531342122763229,6.044249930197503,Activity_1
71,15,2023-01-01 08:31:00,Resource_3,7.525512954793251,4.638766620721125,6.60126010350127,Activity_1
72,15,2023-01-01 08:32:00,Resource_1,7.658521969372061,4.965255033868712,7.270499155265703,Activity_1
73,15,2023-01-01 08:33:00,Resource_1,7.683945111700989,5.1883907325775525,6.87557498036222,Activity_1
74,15,2023-01-01 08:34:00,Resource_1,7.93405522865155,4.794824547543836,7.180714391501597,Activity_1
75,16,2023-01-01 08:35:00,Resource_2,8.140085841679616,4.45175794914302,6.0212862783557215,Activity_1
76,16,2023-01-01 08:36:00,Resource_4,8.237067693221615,4.933113303061951,5.69674189854376,Activity_1
77,16,2023-01-01 08:37:00,Resource_2,8.035289894054877,4.760281163030996,6.2494292846064745,Activity_1
78,16,2023-01-01 08:38:00,Resource_3,8.183861801567254,4.947176196058716,5.879455663128259,Activity_1
79,16,2023-01-01 08:39:00,Resource_0,7.499106310351968,4.557352840515526,5.902593316876304,Activity_1
80,17,2023-01-01 08:40:00,Resource_2,7.35539046800947,5.201912217667437,5.651467207870173,Activity_1
81,17,2023-01-01 08:41:00,Resource_4,8.574108613211314,4.105738324194871,6.036198756328422,Activity_1
82,17,2023-01-01 08:42:00,Resource_4,8.197866178881114,4.324911037784,6.168903760196498,Activity_1
83,17,2023-01-01 08:43:00,Resource_0,7.680208396437065,4.002359401186974,5.933852556688117,Activity_1
84,17,2023-01-01 08:44:00,Resource_0,8.868360371961971,5.260865422832468,5.906320468901856,Activity_1
85,18,2023-01-01 08:45:00,Resource_4,8.124548156629606,4.082255542557403,6.794911735659989,Activity_1
86,18,2023-01-01 08:46:00,Resource_0,8.315387540717067,3.8612750002759615,5.782635516003827,Activity_1
87,18,2023-01-01 08:47:00,Resource_0,8.328445417766286,4.253870336157266,7.840935639830405,Activity_1
88,18,2023-01-01 08:48:00,Resource_3,8.274124908701694,4.261723528351282,6.3760262530308225,Activity_1
89,18,2023-01-01 08:49:00,Resource_4,7.86807689587037,5.373015726567996,6.74655661806006,Activity_1
90,19,2023-01-01 08:50:00,Resource_4,8.03410214395561,4.014488564110263,5.493616707383193,Activity_1
91,19,2023-01-01 08:51:00,Resource_4,8.067807250180481,4.728916815174088,6.5281158314187415,Activity_1
92,19,2023-01-01 08:52:00,Resource_0,8.09540758124149,5.25450353148212,6.658435223925178,Activity_1
93,19,2023-01-01 08:53:00,Resource_1,8.18118053966715,4.20020520319673,6.315854440550335,Activity_1
94,19,2023-01-01 08:54:00,Resource_3,7.142321460246939,4.456361413770038,6.744289308376752,Activity_1
95,20,2023-01-01 08:55:00,Resource_4,8.051891048865182,4.561798312416573,6.1203305986121945,Activity_1
96,20,2023-01-01 08:56:00,Resource_1,7.601034701402001,5.096912589772096,5.195405109300532,Activity_1
97,20,2023-01-01 08:57:00,Resource_4,8.718164563325548,4.05469000897446,5.27605375750463,Activity_1
98,20,2023-01-01 08:58:00,Resource_0,7.9238918550580175,4.272527587187941,6.375302356955646,Activity_1
99,20,2023-01-01 08:59:00,Resource_0,7.519532951278051,3.8647460123744435,6.5947289974354,Activity_1
100,21,2023-01-01 08:20:00,Resource_1,3.230723804535385,4.275318094879062,7.947113925138018,Activity_2
101,21,2023-01-01 08:21:00,Resource_0,3.2230727612452315,3.5476271796408954,7.4322096583732415,Activity_2
102,21,2023-01-01 08:22:00,Resource_3,3.796103246482645,4.691609836821738,7.65483426345948,Activity_2
103,21,2023-01-01 08:23:00,Resource_3,3.684052035516497,3.2899513378633674,7.464718466899507,Activity_2
104,21,2023-01-01 08:24:00,Resource_0,2.1339496101210425,3.5206884308594493,7.330733900497386,Activity_2
105,22,2023-01-01 08:25:00,Resource_0,3.27109436551405,3.6218795421982293,6.880241520996069,Activity_2
106,22,2023-01-01 08:26:00,Resource_4,2.873236367677203,2.983260437186013,6.9530128093661165,Activity_2
107,22,2023-01-01 08:27:00,Resource_1,3.5357273068576553,3.1234493381895088,8.626029614201412,Activity_2
108,22,2023-01-01 08:28:00,Resource_1,2.5800320885210333,3.8783584017801243,8.410098555200602,Activity_2
109,22,2023-01-01 08:29:00,Resource_2,2.972183460146877,2.9269986771543914,8.387236418356942,Activity_2
110,23,2023-01-01 08:30:00,Resource_0,3.3337150512196496,3.9229274591851606,6.484167930616369,Activity_2
111,23,2023-01-01 08:31:00,Resource_4,2.745250562943612,3.9547944007035873,8.66606503452895,Activity_2
112,23,2023-01-01 08:32:00,Resource_0,3.1985193221350374,3.807056238582201,7.485267495534614,Activity_2
113,23,2023-01-01 08:33:00,Resource_0,3.5073224384496955,3.0992708839289014,7.978046136261838,Activity_2
114,23,2023-01-01 08:34:00,Resource_0,1.4568128654576677,3.649434410725074,7.451344103371419,Activity_2
115,24,2023-01-01 08:35:00,Resource_2,3.6423101544253735,4.813939904140824,8.587970652495837,Activity_2
116,24,2023-01-01 08:36:00,Resource_2,2.6857058486448686,3.649018722735355,8.454822818216474,Activity_2
117,24,2023-01-01 08:37:00,Resource_1,3.634810056516003,3.900298839939951,8.11162635907795,Activity_2
118,24,2023-01-01 08:38:00,Resource_1,3.72510971570074,2.9041961984882727,7.118670974941348,Activity_2
119,24,2023-01-01 08:39:00,Resource_3,2.176281383395896,3.883633151286541,6.624867317209031,Activity_2
120,25,2023-01-01 08:40:00,Resource_1,3.3059346366777564,2.8416241970828833,8.194614473587908,Activity_2
121,25,2023-01-01 08:41:00,Resource_3,3.5187638666375696,3.7762068123823616,8.1085029461224,Activity_2
122,25,2023-01-01 08:42:00,Resource_2,2.4343170370400653,4.386523545321123,7.898094265270058,Activity_2
123,25,2023-01-01 08:43:00,Resource_3,2.510102782414384,3.966865064748254,7.240360338110558,Activity_2
124,25,2023-01-01 08:44:00,Resource_1,3.569581488081847,3.6382197876843083,8.737846535584971,Activity_2
125,26,2023-01-01 08:45:00,Resource_4,3.0362174685091166,3.100733548458002,7.9623536611195025,Activity_2
126,26,2023-01-01 08:46:00,Resource_1,2.9307686630897254,3.3871295255686578,7.656785051296956,Activity_2
127,26,2023-01-01 08:47:00,Resource_1,2.678276311066259,3.174321121056537,7.130137718639583,Activity_2
128,26,2023-01-01 08:48:00,Resource_0,3.4531919676212155,4.3858834779877425,8.13597736357449,Activity_2
129,26,2023-01-01 08:49:00,Resource_1,2.88571561100817,3.8726301545803623,7.728117961199463,Activity_2
130,27,2023-01-01 08:50:00,Resource_2,3.2919426625922705,4.582122302960236,7.583840579220738,Activity_2
131,27,2023-01-01 08:51:00,Resource_2,3.259614675609991,4.209266987889245,7.216332308375965,Activity_2
132,27,2023-01-01 08:52:00,Resource_0,2.70976319841391,3.8233071676085992,8.47219393637114,Activity_2
133,27,2023-01-01 08:53:00,Resource_0,1.9675239438442063,3.39802267144761,7.998387531009786,Activity_2
134,27,2023-01-01 08:54:00,Resource_1,2.4156445150846104,3.8869106732003686,7.53540835079581,Activity_2
135,28,2023-01-01 08:55:00,Resource_3,2.1405477117008567,3.7795796210415213,8.450272300719249,Activity_2
136,28,2023-01-01 08:56:00,Resource_2,4.38306217402214,4.290832288043479,7.490047951837473,Activity_2
137,28,2023-01-01 08:57:00,Resource_3,3.986916563757836,3.0220278222596533,7.142367482520612,Activity_2
138,28,2023-01-01 08:58:00,Resource_4,3.6589862460417666,4.738274261934896,7.011016444364665,Activity_2
139,28,2023-01-01 08:59:00,Resource_3,3.4773820906212314,3.554510990284142,7.3973037661470356,Activity_2
140,29,2023-01-01 09:00:00,Resource_0,3.594639574515103,3.856167971842559,8.607882509593717,Activity_2
141,29,2023-01-01 09:01:00,Resource_1,3.1586436490103598,3.926556024793972,8.601856648961764,Activity_2
142,29,2023-01-01 09:02:00,Resource_2,3.6624035424701207,3.40269848383592,7.428021729639448,Activity_2
143,29,2023-01-01 09:03:00,Resource_3,2.694874110461579,4.103856945174406,7.302908167279087,Activity_2
144,29,2023-01-01 09:04:00,Resource_2,3.325758723136687,3.3314076291476256,8.029596460662923,Activity_2
145,30,2023-01-01 09:05:00,Resource_2,2.365137441141466,3.6845844573491724,7.948714278436291,Activity_2
146,30,2023-01-01 09:06:00,Resource_4,3.121621769772421,3.5798358728821973,7.4093158918260436,Activity_2
147,30,2023-01-01 09:07:00,Resource_2,3.576023019593626,4.978505077808991,7.408092992208379,Activity_2
148,30,2023-01-01 09:08:00,Resource_0,3.484433535866216,3.6820432486783337,7.8958731679598895,Activity_2
149,30,2023-01-01 09:09:00,Resource_0,2.8939048789180357,3.529362964252954,7.089379972921469,Activity_2
