EventID,CaseID,Activity,Timestamp,Resource,Location,Shift,Department,ProcessingTime,PriorityLevel,FileSize
E_708,Case_102,Submit,2025-01-27T10:26:35.666853,User_1,Headquarters,Afternoon,HR,23,3,4.07
E_709,Case_102,Review,2025-01-27T12:03:35.666853,User_4,Branch_B,Night,Finance,116,5,2.1
E_710,Case_102,Archive,2025-01-27T12:47:35.666853,User_2,Headquarters,Morning,Operations,10,4,3.37
E_711,Case_102,Submit,2025-01-27T13:47:35.666853,User_1,Branch_B,Afternoon,HR,29,1,6.62
E_712,Case_102,Approve,2025-01-27T14:15:35.666853,User_2,Branch_B,Night,IT,94,2,2.31
E_713,Case_102,Submit,2025-01-27T14:57:35.666853,User_3,Branch_A,Morning,IT,53,2,3.79
E_714,Case_102,Finalize,2025-01-27T15:51:35.666853,User_2,Branch_C,Afternoon,Finance,18,4,9.53
E_715,Case_103,Submit,2025-02-04T10:26:35.666853,User_3,Headquarters,Morning,HR,99,3,9.11
E_716,Case_103,Review,2025-02-04T12:01:35.666853,User_2,Branch_C,Afternoon,Finance,11,5,4.62
E_717,Case_103,Archive,2025-02-04T13:57:35.666853,User_2,Headquarters,Afternoon,IT,26,2,9.87
E_718,Case_103,Submit,2025-02-04T14:59:35.666853,User_2,Headquarters,Afternoon,Finance,106,4,4.86
E_719,Case_103,Approve,2025-02-04T15:14:35.666853,User_2,Headquarters,Morning,HR,61,4,4.55
E_720,Case_103,Submit,2025-02-04T16:30:35.666853,User_2,Headquarters,Night,Finance,9,3,1.0
E_721,Case_103,Finalize,2025-02-04T17:57:35.666853,User_3,Branch_C,Morning,Finance,34,3,3.42
E_722,Case_104,Submit,2025-02-04T10:26:35.666853,User_3,Headquarters,Night,Operations,106,5,4.0
E_723,Case_104,Submit,2025-02-04T12:04:35.666853,User_4,Headquarters,Afternoon,HR,12,3,3.03
E_724,Case_104,Review,2025-02-04T12:51:35.666853,User_2,Branch_C,Morning,Finance,19,4,7.93
E_725,Case_104,Submit,2025-02-04T14:16:35.666853,User_2,Branch_C,Morning,Finance,78,2,5.04
E_726,Case_104,Approve,2025-02-04T15:30:35.666853,User_3,Branch_C,Afternoon,IT,34,5,1.97
E_727,Case_104,Submit,2025-02-04T16:49:35.666853,User_1,Branch_A,Night,HR,6,4,4.08
E_728,Case_104,Finalize,2025-02-04T17:04:35.666853,User_3,Branch_C,Morning,Operations,45,5,7.87
E_729,Case_105,Submit,2025-02-01T10:26:35.666853,User_1,Branch_A,Morning,Operations,96,5,9.68
E_730,Case_105,Review,2025-02-01T12:11:35.666853,User_3,Headquarters,Night,HR,102,3,4.14
E_731,Case_105,Archive,2025-02-01T13:44:35.666853,User_1,Branch_A,Afternoon,HR,92,4,6.92
E_732,Case_105,Submit,2025-02-01T15:27:35.666853,User_1,Branch_A,Night,HR,104,3,6.25
E_733,Case_105,Review,2025-02-01T16:08:35.666853,User_2,Branch_C,Morning,Operations,63,1,1.95
E_734,Case_105,Submit,2025-02-01T17:30:35.666853,User_1,Headquarters,Afternoon,Finance,76,2,5.01
E_735,Case_105,Approve,2025-02-01T17:38:35.666853,User_2,Headquarters,Morning,IT,64,2,9.73
E_736,Case_106,Submit,2025-01-14T10:26:35.666853,User_1,Branch_A,Afternoon,HR,87,5,3.56
E_737,Case_106,Submit,2025-01-14T11:29:35.666853,User_2,Headquarters,Afternoon,Operations,79,1,7.8
E_738,Case_106,Review,2025-01-14T11:31:35.666853,User_2,Branch_B,Morning,IT,20,5,5.62
E_739,Case_106,Submit,2025-01-14T12:28:35.666853,User_1,Branch_A,Night,Operations,13,5,8.74
E_740,Case_106,Approve,2025-01-14T13:39:35.666853,User_1,Branch_C,Morning,HR,63,3,2.24
E_741,Case_106,Submit,2025-01-14T14:46:35.666853,User_4,Branch_C,Afternoon,Finance,8,5,8.86
E_742,Case_106,Finalize,2025-01-14T16:39:35.666853,User_4,Branch_A,Night,IT,88,3,0.98
E_743,Case_107,Submit,2025-02-07T10:26:35.666853,User_1,Branch_A,Morning,Finance,62,2,8.84
E_744,Case_107,Archive,2025-02-07T12:18:35.666853,User_1,Headquarters,Morning,Finance,12,5,4.04
E_745,Case_107,Submit,2025-02-07T13:35:35.666853,User_4,Branch_A,Night,Finance,19,1,4.43
E_746,Case_107,Review,2025-02-07T14:30:35.666853,User_3,Branch_A,Morning,Operations,107,1,6.05
E_747,Case_107,Submit,2025-02-07T15:13:35.666853,User_4,Branch_A,Morning,IT,85,2,2.37
E_748,Case_107,Approve,2025-02-07T16:52:35.666853,User_1,Branch_B,Night,IT,77,5,5.23
E_749,Case_107,Finalize,2025-02-07T17:21:35.666853,User_3,Branch_C,Morning,HR,98,5,2.06
E_750,Case_108,Submit,2025-01-20T10:26:35.666853,User_1,Headquarters,Night,Operations,13,3,9.98
E_751,Case_108,Review,2025-01-20T10:53:35.666853,User_3,Branch_A,Afternoon,Operations,54,1,6.43
E_752,Case_108,Archive,2025-01-20T11:03:35.666853,User_4,Branch_C,Morning,Operations,79,1,5.7
E_753,Case_108,Submit,2025-01-20T12:34:35.666853,User_4,Branch_B,Afternoon,HR,52,1,9.64
E_754,Case_108,Review,2025-01-20T13:00:35.666853,User_2,Branch_A,Morning,Finance,116,3,1.56
E_755,Case_108,Submit,2025-01-20T14:27:35.666853,User_1,Branch_A,Afternoon,Finance,120,3,7.99
E_756,Case_108,Approve,2025-01-20T15:12:35.666853,User_4,Branch_A,Night,Operations,28,5,7.44
E_757,Case_109,Submit,2025-01-25T10:26:35.666853,User_3,Branch_A,Afternoon,Operations,119,5,7.27
E_758,Case_109,Review,2025-01-25T11:04:35.666853,User_1,Branch_C,Morning,Operations,39,3,5.24
E_759,Case_109,Archive,2025-01-25T11:58:35.666853,User_4,Branch_A,Night,Finance,3,5,3.78
E_760,Case_109,Submit,2025-01-25T12:34:35.666853,User_1,Branch_B,Afternoon,Operations,16,5,3.9
E_761,Case_109,Review,2025-01-25T14:27:35.666853,User_3,Branch_C,Afternoon,HR,7,3,2.44
E_762,Case_109,Submit,2025-01-25T15:49:35.666853,User_1,Branch_B,Afternoon,Finance,54,2,5.02
E_763,Case_109,Approve,2025-01-25T15:55:35.666853,User_3,Headquarters,Afternoon,Finance,114,5,1.14
E_71,Case_11,Submit,2025-02-02T10:26:35.666853,User_1,Branch_C,Morning,IT,36,4,8.49
E_72,Case_11,Archive,2025-02-02T10:36:35.666853,User_2,Headquarters,Night,IT,13,4,1.83
E_73,Case_11,Review,2025-02-02T11:30:35.666853,User_3,Headquarters,Night,HR,33,3,2.43
E_74,Case_11,Submit,2025-02-02T11:33:35.666853,User_3,Branch_C,Night,IT,86,3,2.88
E_75,Case_11,Approve,2025-02-02T11:51:35.666853,User_2,Branch_B,Afternoon,HR,120,2,3.66
E_76,Case_11,Submit,2025-02-02T12:19:35.666853,User_1,Branch_A,Afternoon,IT,5,2,6.16
E_77,Case_11,Finalize,2025-02-02T13:45:35.666853,User_3,Branch_C,Afternoon,Finance,21,1,4.05
E_764,Case_110,Submit,2025-01-29T10:26:35.666853,User_2,Branch_A,Morning,Finance,2,4,4.4
E_765,Case_110,Review,2025-01-29T10:46:35.666853,User_1,Branch_B,Morning,Operations,14,3,0.21
E_766,Case_110,Archive,2025-01-29T12:04:35.666853,User_2,Branch_C,Morning,Finance,21,2,7.89
E_767,Case_110,Submit,2025-01-29T13:00:35.666853,User_1,Branch_B,Afternoon,Operations,29,4,6.01
E_768,Case_110,Review,2025-01-29T13:14:35.666853,User_3,Headquarters,Morning,IT,56,4,7.08
E_769,Case_110,Submit,2025-01-29T14:52:35.666853,User_2,Headquarters,Morning,Finance,10,5,0.71
E_770,Case_110,Approve,2025-01-29T15:56:35.666853,User_4,Branch_A,Morning,Operations,29,5,2.84
E_771,Case_111,Submit,2025-01-17T10:26:35.666853,User_4,Branch_B,Afternoon,Operations,69,2,5.84
E_772,Case_111,Submit,2025-01-17T11:11:35.666853,User_4,Branch_A,Afternoon,Operations,100,5,1.27
E_773,Case_111,Review,2025-01-17T12:52:35.666853,User_1,Branch_A,Night,HR,97,1,7.5
E_774,Case_111,Submit,2025-01-17T13:59:35.666853,User_1,Branch_C,Morning,Operations,53,1,8.46
E_775,Case_111,Approve,2025-01-17T15:08:35.666853,User_4,Branch_C,Morning,Finance,10,2,8.07
E_776,Case_111,Submit,2025-01-17T16:13:35.666853,User_4,Branch_A,Afternoon,HR,67,5,7.98
E_777,Case_111,Finalize,2025-01-17T17:29:35.666853,User_1,Headquarters,Night,Operations,15,4,3.11
E_778,Case_112,Submit,2025-02-10T10:26:35.666853,User_3,Branch_C,Afternoon,Finance,49,5,8.65
E_779,Case_112,Review,2025-02-10T11:09:35.666853,User_4,Branch_C,Afternoon,HR,41,5,1.73
E_780,Case_112,Archive,2025-02-10T12:10:35.666853,User_1,Branch_A,Morning,Finance,40,3,5.39
E_781,Case_112,Submit,2025-02-10T12:58:35.666853,User_4,Headquarters,Morning,Finance,97,1,5.38
E_782,Case_112,Approve,2025-02-10T14:21:35.666853,User_1,Branch_B,Afternoon,Operations,35,5,7.92
E_783,Case_112,Submit,2025-02-10T16:21:35.666853,User_2,Branch_A,Morning,HR,44,5,1.35
E_784,Case_112,Finalize,2025-02-10T17:17:35.666853,User_1,Branch_A,Afternoon,Operations,31,3,2.43
E_785,Case_113,Submit,2025-01-29T10:26:35.666853,User_3,Branch_A,Morning,HR,100,3,3.18
E_786,Case_113,Submit,2025-01-29T11:44:35.666853,User_1,Branch_A,Morning,IT,8,3,4.92
E_787,Case_113,Review,2025-01-29T12:40:35.666853,User_4,Branch_A,Afternoon,IT,69,5,7.39
E_788,Case_113,Submit,2025-01-29T12:46:35.666853,User_2,Headquarters,Night,HR,78,3,3.07
E_789,Case_113,Approve,2025-01-29T14:33:35.666853,User_1,Headquarters,Morning,HR,41,4,0.37
E_790,Case_113,Submit,2025-01-29T15:08:35.666853,User_4,Branch_B,Afternoon,HR,117,2,7.65
E_791,Case_113,Finalize,2025-01-29T15:58:35.666853,User_1,Headquarters,Morning,Finance,88,2,4.13
E_792,Case_114,Submit,2025-01-25T10:26:35.666853,User_3,Headquarters,Morning,IT,58,1,6.93
E_793,Case_114,Submit,2025-01-25T11:20:35.666853,User_4,Headquarters,Afternoon,Finance,75,1,0.83
E_794,Case_114,Review,2025-01-25T12:02:35.666853,User_2,Branch_B,Morning,IT,115,1,2.25
E_795,Case_114,Submit,2025-01-25T13:06:35.666853,User_1,Branch_A,Afternoon,Finance,68,3,7.67
E_796,Case_114,Approve,2025-01-25T13:26:35.666853,User_1,Headquarters,Night,Finance,54,2,1.64
E_797,Case_114,Submit,2025-01-25T14:41:35.666853,User_2,Branch_C,Night,HR,18,3,9.18
E_798,Case_114,Finalize,2025-01-25T15:20:35.666853,User_2,Branch_C,Night,IT,114,4,1.28
E_799,Case_115,Submit,2025-01-15T10:26:35.666853,User_3,Headquarters,Afternoon,IT,113,1,1.51
E_800,Case_115,Review,2025-01-15T10:46:35.666853,User_2,Branch_A,Morning,Operations,90,3,6.29
E_801,Case_115,Archive,2025-01-15T11:46:35.666853,User_2,Branch_B,Morning,Finance,63,5,8.41
E_802,Case_115,Submit,2025-01-15T12:58:35.666853,User_4,Branch_C,Afternoon,HR,110,4,3.43
E_803,Case_115,Approve,2025-01-15T13:18:35.666853,User_3,Branch_A,Afternoon,Finance,101,4,5.93
E_804,Case_115,Submit,2025-01-15T14:04:35.666853,User_2,Branch_C,Morning,Operations,48,2,3.72
E_805,Case_115,Finalize,2025-01-15T15:54:35.666853,User_4,Branch_A,Night,Finance,82,2,9.53
E_806,Case_116,Submit,2025-01-11T10:26:35.666853,User_4,Branch_A,Morning,Finance,89,1,0.95
E_807,Case_116,Archive,2025-01-11T11:22:35.666853,User_3,Branch_C,Afternoon,Operations,54,1,2.52
E_808,Case_116,Review,2025-01-11T12:16:35.666853,User_1,Branch_C,Night,IT,86,3,1.93
E_809,Case_116,Submit,2025-01-11T14:12:35.666853,User_1,Headquarters,Morning,HR,21,4,8.55
E_810,Case_116,Approve,2025-01-11T14:46:35.666853,User_3,Branch_B,Night,IT,102,1,1.08
E_811,Case_116,Submit,2025-01-11T15:25:35.666853,User_2,Headquarters,Afternoon,HR,72,3,1.2
E_812,Case_116,Finalize,2025-01-11T15:42:35.666853,User_2,Branch_B,Morning,Finance,76,4,2.14
E_813,Case_117,Submit,2025-02-05T10:26:35.666853,User_4,Branch_A,Afternoon,IT,47,2,5.38
E_814,Case_117,Review,2025-02-05T11:00:35.666853,User_2,Headquarters,Afternoon,IT,61,3,8.81
E_815,Case_117,Archive,2025-02-05T11:42:35.666853,User_2,Branch_C,Afternoon,IT,6,1,5.3
E_816,Case_117,Submit,2025-02-05T12:33:35.666853,User_2,Branch_C,Afternoon,HR,105,4,3.93
E_817,Case_117,Approve,2025-02-05T14:24:35.666853,User_1,Branch_C,Afternoon,HR,92,1,4.38
E_818,Case_117,Submit,2025-02-05T15:29:35.666853,User_4,Branch_A,Night,HR,14,4,3.23
E_819,Case_117,Finalize,2025-02-05T15:45:35.666853,User_3,Branch_A,Night,HR,31,5,10.0
E_820,Case_118,Submit,2025-01-15T10:26:35.666853,User_1,Branch_B,Morning,Operations,27,5,9.13
E_821,Case_118,Review,2025-01-15T11:17:35.666853,User_1,Branch_B,Night,Operations,113,5,2.54
E_822,Case_118,Archive,2025-01-15T12:19:35.666853,User_2,Branch_B,Night,Finance,28,1,6.05
E_823,Case_118,Submit,2025-01-15T12:27:35.666853,User_4,Branch_A,Afternoon,Finance,8,3,5.46
E_824,Case_118,Approve,2025-01-15T13:20:35.666853,User_2,Headquarters,Afternoon,IT,28,1,6.18
E_825,Case_118,Submit,2025-01-15T14:13:35.666853,User_2,Branch_B,Night,Operations,32,5,6.18
E_826,Case_118,Finalize,2025-01-15T14:57:35.666853,User_2,Headquarters,Night,Finance,59,3,7.03
E_827,Case_119,Submit,2025-02-04T10:26:35.666853,User_1,Branch_B,Morning,IT,24,5,7.13
E_828,Case_119,Review,2025-02-04T10:33:35.666853,User_2,Branch_B,Night,HR,29,5,9.86
E_829,Case_119,Archive,2025-02-04T12:19:35.666853,User_2,Branch_C,Night,IT,79,2,1.94
E_830,Case_119,Submit,2025-02-04T12:44:35.666853,User_3,Headquarters,Afternoon,Finance,100,4,8.47
E_831,Case_119,Approve,2025-02-04T12:48:35.666853,User_2,Branch_A,Night,Finance,27,4,8.76
E_832,Case_119,Submit,2025-02-04T13:32:35.666853,User_3,Branch_B,Afternoon,Operations,60,2,4.53
E_833,Case_119,Finalize,2025-02-04T13:44:35.666853,User_2,Branch_C,Night,Finance,101,5,6.9
E_78,Case_12,Submit,2025-02-05T10:26:35.666853,User_3,Branch_B,Morning,Finance,100,3,7.07
E_79,Case_12,Archive,2025-02-05T11:26:35.666853,User_3,Headquarters,Night,Finance,108,2,9.7
E_80,Case_12,Review,2025-02-05T11:27:35.666853,User_2,Branch_C,Morning,Operations,107,5,6.14
E_81,Case_12,Submit,2025-02-05T13:04:35.666853,User_1,Branch_B,Afternoon,IT,25,4,7.87
E_82,Case_12,Approve,2025-02-05T14:24:35.666853,User_1,Branch_B,Night,IT,18,3,8.93
E_83,Case_12,Submit,2025-02-05T15:24:35.666853,User_3,Branch_C,Morning,IT,89,1,7.03
E_84,Case_12,Finalize,2025-02-05T16:57:35.666853,User_4,Branch_C,Morning,HR,70,5,1.79
E_834,Case_120,Submit,2025-01-17T10:26:35.666853,User_1,Branch_B,Night,HR,57,2,0.7
E_835,Case_120,Archive,2025-01-17T11:47:35.666853,User_1,Headquarters,Afternoon,IT,80,2,7.37
E_836,Case_120,Submit,2025-01-17T13:06:35.666853,User_1,Branch_C,Night,IT,72,3,5.41
E_837,Case_120,Review,2025-01-17T13:30:35.666853,User_4,Branch_A,Night,Operations,72,2,0.17
E_838,Case_120,Submit,2025-01-17T14:13:35.666853,User_1,Branch_A,Afternoon,HR,71,3,4.77
E_839,Case_120,Approve,2025-01-17T14:36:35.666853,User_2,Branch_B,Morning,IT,95,3,3.11
E_840,Case_120,Finalize,2025-01-17T14:52:35.666853,User_1,Branch_C,Afternoon,HR,4,3,9.76
E_841,Case_121,Submit,2025-02-05T10:26:35.666853,User_4,Headquarters,Night,Finance,47,2,9.29
E_842,Case_121,Review,2025-02-05T10:46:35.666853,User_2,Branch_C,Night,IT,62,3,4.16
E_843,Case_121,Archive,2025-02-05T11:04:35.666853,User_1,Headquarters,Night,Operations,9,1,1.95
E_844,Case_121,Submit,2025-02-05T12:12:35.666853,User_1,Branch_C,Morning,Operations,42,2,0.14
E_845,Case_121,Review,2025-02-05T13:54:35.666853,User_3,Branch_A,Afternoon,Finance,65,1,4.57
E_846,Case_121,Submit,2025-02-05T13:56:35.666853,User_3,Headquarters,Morning,Operations,19,3,3.52
E_847,Case_121,Approve,2025-02-05T15:47:35.666853,User_2,Branch_A,Morning,Finance,61,3,4.05
E_848,Case_122,Submit,2025-01-23T10:26:35.666853,User_2,Headquarters,Afternoon,Operations,15,4,5.27
E_849,Case_122,Submit,2025-01-23T10:35:35.666853,User_3,Branch_C,Morning,Finance,9,1,4.91
E_850,Case_122,Review,2025-01-23T12:12:35.666853,User_2,Branch_C,Afternoon,Operations,93,1,0.74
E_851,Case_122,Submit,2025-01-23T13:46:35.666853,User_4,Branch_C,Afternoon,IT,7,4,2.36
E_852,Case_122,Approve,2025-01-23T15:44:35.666853,User_4,Branch_B,Night,IT,110,2,7.47
E_853,Case_122,Submit,2025-01-23T16:04:35.666853,User_3,Branch_A,Night,Finance,117,2,8.72
E_854,Case_122,Finalize,2025-01-23T17:20:35.666853,User_3,Branch_C,Afternoon,Finance,104,3,4.21
E_855,Case_123,Submit,2025-01-25T10:26:35.666853,User_1,Headquarters,Morning,Operations,46,1,8.72
E_856,Case_123,Review,2025-01-25T10:41:35.666853,User_3,Headquarters,Morning,Finance,110,2,8.97
E_857,Case_123,Archive,2025-01-25T11:16:35.666853,User_3,Headquarters,Afternoon,IT,77,4,6.26
E_858,Case_123,Submit,2025-01-25T11:39:35.666853,User_3,Headquarters,Night,IT,103,5,1.12
E_859,Case_123,Approve,2025-01-25T12:32:35.666853,User_1,Headquarters,Night,IT,118,4,1.99
E_860,Case_123,Submit,2025-01-25T14:23:35.666853,User_4,Branch_C,Morning,HR,26,2,1.76
E_861,Case_123,Finalize,2025-01-25T14:49:35.666853,User_1,Branch_C,Night,Operations,90,2,4.52
E_862,Case_124,Submit,2025-01-22T10:26:35.666853,User_4,Branch_A,Night,HR,96,2,3.61
E_863,Case_124,Archive,2025-01-22T11:11:35.666853,User_4,Branch_A,Morning,IT,42,5,5.47
E_864,Case_124,Review,2025-01-22T11:34:35.666853,User_1,Branch_C,Afternoon,Operations,22,2,8.7
E_865,Case_124,Submit,2025-01-22T12:30:35.666853,User_3,Branch_A,Night,Operations,90,3,2.82
E_866,Case_124,Approve,2025-01-22T12:53:35.666853,User_4,Branch_B,Afternoon,HR,35,1,7.84
E_867,Case_124,Submit,2025-01-22T14:19:35.666853,User_2,Branch_B,Morning,IT,10,3,9.79
E_868,Case_124,Finalize,2025-01-22T16:03:35.666853,User_4,Headquarters,Night,Operations,12,2,6.2
E_869,Case_125,Submit,2025-01-25T10:26:35.666853,User_1,Branch_B,Night,Operations,62,2,6.37
E_870,Case_125,Submit,2025-01-25T12:03:35.666853,User_3,Headquarters,Night,HR,33,4,2.33
E_871,Case_125,Review,2025-01-25T12:50:35.666853,User_3,Headquarters,Morning,Operations,112,2,7.58
E_872,Case_125,Submit,2025-01-25T13:57:35.666853,User_3,Branch_A,Afternoon,Operations,20,1,2.12
E_873,Case_125,Approve,2025-01-25T14:38:35.666853,User_1,Branch_B,Night,IT,110,2,2.6
E_874,Case_125,Submit,2025-01-25T15:20:35.666853,User_4,Headquarters,Night,HR,33,4,7.02
E_875,Case_125,Finalize,2025-01-25T16:37:35.666853,User_1,Branch_B,Morning,HR,63,2,6.91
E_876,Case_126,Submit,2025-02-07T10:26:35.666853,User_2,Branch_A,Night,IT,47,2,2.49
E_877,Case_126,Archive,2025-02-07T11:44:35.666853,User_2,Branch_B,Morning,Operations,100,4,6.47
E_878,Case_126,Review,2025-02-07T12:27:35.666853,User_3,Branch_C,Night,Operations,107,3,6.94
E_879,Case_126,Submit,2025-02-07T13:17:35.666853,User_4,Branch_A,Afternoon,HR,34,2,1.79
E_880,Case_126,Approve,2025-02-07T15:05:35.666853,User_2,Branch_A,Night,HR,77,3,2.34
E_881,Case_126,Submit,2025-02-07T16:29:35.666853,User_2,Branch_B,Night,Finance,55,4,6.55
E_882,Case_126,Finalize,2025-02-07T16:41:35.666853,User_2,Headquarters,Morning,IT,70,1,3.19
E_883,Case_127,Submit,2025-01-28T10:26:35.666853,User_4,Branch_B,Afternoon,Operations,33,1,1.04
E_884,Case_127,Archive,2025-01-28T10:54:35.666853,User_3,Headquarters,Afternoon,Finance,43,4,1.84
E_885,Case_127,Submit,2025-01-28T12:01:35.666853,User_2,Headquarters,Morning,Finance,87,5,1.51
E_886,Case_127,Review,2025-01-28T13:05:35.666853,User_2,Branch_B,Morning,IT,39,5,8.83
E_887,Case_127,Submit,2025-01-28T14:46:35.666853,User_1,Branch_B,Night,Finance,9,1,7.89
E_888,Case_127,Approve,2025-01-28T15:22:35.666853,User_3,Headquarters,Afternoon,IT,13,1,5.79
E_889,Case_127,Finalize,2025-01-28T15:44:35.666853,User_1,Branch_A,Night,Operations,20,5,7.17
E_890,Case_128,Submit,2025-01-12T10:26:35.666853,User_2,Branch_B,Night,IT,8,2,1.62
E_891,Case_128,Review,2025-01-12T11:15:35.666853,User_2,Branch_A,Morning,HR,106,4,1.76
E_892,Case_128,Archive,2025-01-12T11:33:35.666853,User_1,Headquarters,Morning,Finance,97,5,1.53
E_893,Case_128,Submit,2025-01-12T12:10:35.666853,User_2,Branch_A,Afternoon,Operations,74,3,1.81
E_894,Case_128,Approve,2025-01-12T12:35:35.666853,User_4,Branch_C,Night,IT,95,3,7.98
E_895,Case_128,Submit,2025-01-12T13:01:35.666853,User_2,Branch_C,Night,HR,42,5,3.13
E_896,Case_128,Finalize,2025-01-12T14:54:35.666853,User_2,Branch_A,Afternoon,IT,59,4,0.47
E_897,Case_129,Submit,2025-02-01T10:26:35.666853,User_4,Headquarters,Afternoon,Operations,36,1,0.87
E_898,Case_129,Review,2025-02-01T11:36:35.666853,User_3,Branch_A,Night,Finance,58,2,6.22
E_899,Case_129,Archive,2025-02-01T11:59:35.666853,User_3,Branch_A,Afternoon,Operations,32,4,5.03
E_900,Case_129,Submit,2025-02-01T13:15:35.666853,User_4,Branch_B,Night,Finance,13,1,6.21
E_901,Case_129,Review,2025-02-01T13:57:35.666853,User_1,Headquarters,Afternoon,IT,18,5,2.89
E_902,Case_129,Submit,2025-02-01T15:36:35.666853,User_4,Headquarters,Afternoon,HR,100,1,1.27
E_903,Case_129,Approve,2025-02-01T17:35:35.666853,User_4,Branch_C,Night,Operations,22,3,7.77
E_85,Case_13,Submit,2025-01-12T10:26:35.666853,User_1,Headquarters,Night,HR,105,2,2.18
E_86,Case_13,Review,2025-01-12T11:06:35.666853,User_3,Headquarters,Morning,Operations,111,1,2.24
E_87,Case_13,Archive,2025-01-12T12:11:35.666853,User_2,Branch_B,Night,Operations,92,3,4.42
E_88,Case_13,Submit,2025-01-12T12:29:35.666853,User_1,Branch_A,Afternoon,Operations,41,4,6.81
E_89,Case_13,Approve,2025-01-12T13:46:35.666853,User_1,Headquarters,Morning,HR,88,2,9.03
E_90,Case_13,Submit,2025-01-12T14:52:35.666853,User_2,Branch_B,Night,Operations,94,3,0.97
E_91,Case_13,Finalize,2025-01-12T15:52:35.666853,User_2,Headquarters,Night,IT,117,5,6.84
E_904,Case_130,Submit,2025-01-30T10:26:35.666853,User_4,Headquarters,Morning,Finance,81,3,6.35
E_905,Case_130,Review,2025-01-30T11:17:35.666853,User_3,Branch_C,Afternoon,Operations,78,1,6.49
E_906,Case_130,Archive,2025-01-30T12:23:35.666853,User_3,Headquarters,Night,Operations,86,2,8.09
E_907,Case_130,Submit,2025-01-30T14:04:35.666853,User_4,Branch_C,Morning,IT,1,1,6.47
E_908,Case_130,Review,2025-01-30T14:43:35.666853,User_3,Branch_C,Night,Operations,7,3,4.99
E_909,Case_130,Submit,2025-01-30T16:13:35.666853,User_1,Branch_C,Morning,HR,77,5,1.3
E_910,Case_130,Approve,2025-01-30T17:21:35.666853,User_3,Headquarters,Afternoon,Operations,70,1,5.59
E_911,Case_131,Submit,2025-02-09T10:26:35.666853,User_3,Headquarters,Afternoon,HR,50,3,5.2
