EventID,case:concept:name,concept:name,time:timestamp,refined_concept:name
64,Case_392,A,2023-01-01 06:54:00+00:00,A
65,Case_626,C,2023-01-01 06:54:00+00:00,C
66,Case_626,D,2023-01-01 06:56:00+00:00,D
67,Case_559,B2,2023-01-01 06:57:00+00:00,B2
68,Case_626,B1,2023-01-01 06:59:00+00:00,B1
69,Case_30,A,2023-01-01 07:05:00+00:00,A
70,Case_626,B2,2023-01-01 07:15:00+00:00,B2
71,Case_30,C,2023-01-01 07:27:00+00:00,C
72,Case_30,D,2023-01-01 07:29:00+00:00,D
73,Case_30,B1,2023-01-01 07:29:00+00:00,B1
74,Case_559,A,2023-01-01 07:46:00+00:00,A
75,Case_30,B2,2023-01-01 07:48:00+00:00,B2
76,Case_214,A,2023-01-01 07:51:00+00:00,A
77,Case_559,E1,2023-01-01 08:06:00+00:00,E1
78,Case_626,A,2023-01-01 08:10:00+00:00,A
79,Case_214,C,2023-01-01 08:15:00+00:00,C
80,Case_214,B1,2023-01-01 08:17:00+00:00,B1
81,Case_214,D,2023-01-01 08:20:00+00:00,D
82,Case_365,A,2023-01-01 08:32:00+00:00,A
83,Case_626,E1,2023-01-01 08:35:00+00:00,E1
84,Case_30,A,2023-01-01 08:40:00+00:00,A
85,Case_559,E2,2023-01-01 08:48:00+00:00,E2
86,Case_214,B2,2023-01-01 08:55:00+00:00,B2
87,Case_365,C,2023-01-01 08:57:00+00:00,C
88,Case_365,D,2023-01-01 09:00:00+00:00,D
89,Case_365,B1,2023-01-01 09:03:00+00:00,B1
90,Case_30,F,2023-01-01 09:08:00+00:00,F
91,Case_559,A,2023-01-01 09:10:00+00:00,A
92,Case_626,E2,2023-01-01 09:20:00+00:00,E2
93,Case_214,A,2023-01-01 09:24:00+00:00,A
94,Case_365,B2,2023-01-01 09:40:00+00:00,B2
95,Case_626,A,2023-01-01 09:47:00+00:00,A
96,Case_214,E1,2023-01-01 09:47:00+00:00,E1
97,Case_30,A,2023-01-01 09:49:00+00:00,A
98,Case_342,A,2023-01-01 10:10:00+00:00,A
99,Case_214,E2,2023-01-01 10:11:00+00:00,E2
100,Case_365,A,2023-01-01 10:25:00+00:00,A
101,Case_214,A,2023-01-01 10:28:00+00:00,A
102,Case_402,A,2023-01-01 10:33:00+00:00,A
103,Case_342,C,2023-01-01 10:37:00+00:00,C
104,Case_342,D,2023-01-01 10:40:00+00:00,D
105,Case_342,B1,2023-01-01 10:44:00+00:00,B1
106,Case_402,C,2023-01-01 10:50:00+00:00,C
107,Case_402,D,2023-01-01 10:53:00+00:00,D
108,Case_365,F,2023-01-01 10:55:00+00:00,F
109,Case_402,B1,2023-01-01 10:57:00+00:00,B1
110,Case_775,A,2023-01-01 11:05:00+00:00,A
111,Case_402,B2,2023-01-01 11:14:00+00:00,B2
112,Case_342,B2,2023-01-01 11:27:00+00:00,B2
113,Case_775,C,2023-01-01 11:29:00+00:00,C
114,Case_775,B1,2023-01-01 11:31:00+00:00,B1
115,Case_775,D,2023-01-01 11:32:00+00:00,D
116,Case_365,A,2023-01-01 11:51:00+00:00,A
117,Case_775,B2,2023-01-01 11:56:00+00:00,B2
118,Case_402,A,2023-01-01 12:01:00+00:00,A
119,Case_402,E1,2023-01-01 12:14:00+00:00,E1
120,Case_342,A,2023-01-01 12:18:00+00:00,A
121,Case_775,A,2023-01-01 12:19:00+00:00,A
122,Case_139,A,2023-01-01 12:32:00+00:00,A
123,Case_775,F,2023-01-01 12:38:00+00:00,F
124,Case_342,F,2023-01-01 12:45:00+00:00,F
125,Case_139,C,2023-01-01 12:46:00+00:00,C
126,Case_139,D,2023-01-01 12:51:00+00:00,D
127,Case_139,B1,2023-01-01 12:52:00+00:00,B1
128,Case_402,E2,2023-01-01 12:56:00+00:00,E2
129,Case_402,A,2023-01-01 13:14:00+00:00,A
130,Case_843,A,2023-01-01 13:23:00+00:00,A
131,Case_342,A,2023-01-01 13:24:00+00:00,A
132,Case_139,B2,2023-01-01 13:28:00+00:00,B2
133,Case_775,A,2023-01-01 13:40:00+00:00,A
134,Case_843,C,2023-01-01 13:45:00+00:00,C
135,Case_843,D,2023-01-01 13:47:00+00:00,D
136,Case_730,A,2023-01-01 13:49:00+00:00,A
137,Case_843,B1,2023-01-01 13:51:00+00:00,B1
138,Case_730,C,2023-01-01 13:59:00+00:00,C
139,Case_139,A,2023-01-01 13:59:00+00:00,A
140,Case_730,D,2023-01-01 14:03:00+00:00,D
141,Case_730,B1,2023-01-01 14:06:00+00:00,B1
142,Case_843,B2,2023-01-01 14:10:00+00:00,B2
143,Case_139,F,2023-01-01 14:14:00+00:00,F
144,Case_730,B2,2023-01-01 14:38:00+00:00,B2
145,Case_843,A,2023-01-01 14:54:00+00:00,A
146,Case_843,E1,2023-01-01 15:18:00+00:00,E1
147,Case_730,A,2023-01-01 15:26:00+00:00,A
148,Case_831,A,2023-01-01 15:27:00+00:00,A
149,Case_139,A,2023-01-01 15:28:00+00:00,A
150,Case_730,F,2023-01-01 15:38:00+00:00,F
151,Case_843,E2,2023-01-01 15:52:00+00:00,E2
152,Case_831,C,2023-01-01 15:55:00+00:00,C
153,Case_831,D,2023-01-01 15:59:00+00:00,D
154,Case_831,B1,2023-01-01 15:59:00+00:00,B1
155,Case_271,A,2023-01-01 16:07:00+00:00,A
156,Case_843,A,2023-01-01 16:15:00+00:00,A
157,Case_271,C,2023-01-01 16:20:00+00:00,C
158,Case_271,D,2023-01-01 16:24:00+00:00,D
159,Case_271,B1,2023-01-01 16:24:00+00:00,B1
160,Case_831,B2,2023-01-01 16:28:00+00:00,B2
161,Case_730,A,2023-01-01 16:35:00+00:00,A
162,Case_271,B2,2023-01-01 16:57:00+00:00,B2
163,Case_831,A,2023-01-01 17:08:00+00:00,A
164,Case_831,E1,2023-01-01 17:24:00+00:00,E1
165,Case_271,A,2023-01-01 17:35:00+00:00,A
166,Case_271,F,2023-01-01 17:54:00+00:00,F
167,Case_831,E2,2023-01-01 18:11:00+00:00,E2
168,Case_831,A,2023-01-01 18:41:00+00:00,A
169,Case_788,A,2023-01-01 18:50:00+00:00,A
170,Case_271,A,2023-01-01 19:11:00+00:00,A
171,Case_788,C,2023-01-01 19:12:00+00:00,C
172,Case_788,D,2023-01-01 19:13:00+00:00,D
173,Case_788,B1,2023-01-01 19:19:00+00:00,B1
174,Case_788,B2,2023-01-01 19:58:00+00:00,B2
175,Case_788,A,2023-01-01 20:21:00+00:00,A
176,Case_788,E1,2023-01-01 20:50:00+00:00,E1
177,Case_674,A,2023-01-01 21:10:00+00:00,A
178,Case_171,A,2023-01-01 21:16:00+00:00,A
179,Case_622,A,2023-01-01 21:20:00+00:00,A
180,Case_674,C,2023-01-01 21:27:00+00:00,C
181,Case_674,D,2023-01-01 21:30:00+00:00,D
182,Case_171,C,2023-01-01 21:30:00+00:00,C
183,Case_171,D,2023-01-01 21:31:00+00:00,D
184,Case_674,B1,2023-01-01 21:34:00+00:00,B1
185,Case_622,C,2023-01-01 21:34:00+00:00,C
186,Case_788,E2,2023-01-01 21:36:00+00:00,E2
187,Case_171,B1,2023-01-01 21:37:00+00:00,B1
188,Case_622,D,2023-01-01 21:37:00+00:00,D
189,Case_622,B1,2023-01-01 21:41:00+00:00,B1
190,Case_171,B2,2023-01-01 21:53:00+00:00,B2
191,Case_674,B2,2023-01-01 21:55:00+00:00,B2
192,Case_788,A,2023-01-01 22:00:00+00:00,A
193,Case_622,B2,2023-01-01 22:09:00+00:00,B2
194,Case_686,A,2023-01-01 22:15:00+00:00,A
195,Case_686,C,2023-01-01 22:36:00+00:00,C
196,Case_686,B1,2023-01-01 22:39:00+00:00,B1
197,Case_953,A,2023-01-01 22:39:00+00:00,A
198,Case_171,A,2023-01-01 22:40:00+00:00,A
199,Case_622,A,2023-01-01 22:40:00+00:00,A
200,Case_686,D,2023-01-01 22:41:00+00:00,D
201,Case_953,C,2023-01-01 22:52:00+00:00,C
202,Case_953,D,2023-01-01 22:53:00+00:00,D
203,Case_674,A,2023-01-01 22:54:00+00:00,A
204,Case_953,B1,2023-01-01 22:55:00+00:00,B1
205,Case_622,F,2023-01-01 22:56:00+00:00,F
206,Case_208,A,2023-01-01 22:58:00+00:00,A
207,Case_686,B2,2023-01-01 23:02:00+00:00,B2
208,Case_171,F,2023-01-01 23:04:00+00:00,F
209,Case_208,C,2023-01-01 23:08:00+00:00,C
210,Case_674,E1,2023-01-01 23:12:00+00:00,E1
211,Case_208,D,2023-01-01 23:13:00+00:00,D
212,Case_208,B1,2023-01-01 23:13:00+00:00,B1
213,Case_953,B2,2023-01-01 23:37:00+00:00,B2
214,Case_208,B2,2023-01-01 23:39:00+00:00,B2
215,Case_686,A,2023-01-01 23:52:00+00:00,A
216,Case_674,E2,2023-01-01 23:55:00+00:00,E2
217,Case_171,A,2023-01-02 00:02:00+00:00,A
218,Case_622,A,2023-01-02 00:05:00+00:00,A
219,Case_686,E1,2023-01-02 00:11:00+00:00,E1
220,Case_208,A,2023-01-02 00:15:00+00:00,A
221,Case_953,A,2023-01-02 00:22:00+00:00,A
222,Case_674,A,2023-01-02 00:34:00+00:00,A
223,Case_686,E2,2023-01-02 00:41:00+00:00,E2
224,Case_208,F,2023-01-02 00:43:00+00:00,F
225,Case_953,F,2023-01-02 00:49:00+00:00,F
226,Case_686,A,2023-01-02 01:21:00+00:00,A
227,Case_953,A,2023-01-02 01:49:00+00:00,A
228,Case_449,A,2023-01-02 01:50:00+00:00,A
229,Case_208,A,2023-01-02 01:58:00+00:00,A
230,Case_449,C,2023-01-02 02:11:00+00:00,C
231,Case_449,B1,2023-01-02 02:13:00+00:00,B1
232,Case_449,D,2023-01-02 02:13:00+00:00,D
233,Case_542,A,2023-01-02 02:40:00+00:00,A
234,Case_449,B2,2023-01-02 02:47:00+00:00,B2
235,Case_542,C,2023-01-02 02:52:00+00:00,C
236,Case_542,D,2023-01-02 02:56:00+00:00,D
237,Case_542,B1,2023-01-02 02:56:00+00:00,B1
238,Case_431,A,2023-01-02 03:04:00+00:00,A
239,Case_3,A,2023-01-02 03:19:00+00:00,A
240,Case_431,C,2023-01-02 03:23:00+00:00,C
241,Case_431,D,2023-01-02 03:24:00+00:00,D
242,Case_431,B1,2023-01-02 03:26:00+00:00,B1
243,Case_542,B2,2023-01-02 03:31:00+00:00,B2
244,Case_449,A,2023-01-02 03:42:00+00:00,A
245,Case_3,C,2023-01-02 03:46:00+00:00,C
246,Case_3,D,2023-01-02 03:51:00+00:00,D
247,Case_3,B1,2023-01-02 03:53:00+00:00,B1
248,Case_706,A,2023-01-02 04:02:00+00:00,A
249,Case_449,E1,2023-01-02 04:02:00+00:00,E1
250,Case_431,B2,2023-01-02 04:09:00+00:00,B2
251,Case_3,B2,2023-01-02 04:12:00+00:00,B2
252,Case_948,A,2023-01-02 04:15:00+00:00,A
253,Case_542,A,2023-01-02 04:17:00+00:00,A
254,Case_449,E2,2023-01-02 04:29:00+00:00,E2
255,Case_542,F,2023-01-02 04:30:00+00:00,F
256,Case_706,C,2023-01-02 04:31:00+00:00,C
257,Case_706,D,2023-01-02 04:34:00+00:00,D
258,Case_948,C,2023-01-02 04:36:00+00:00,C
259,Case_706,B1,2023-01-02 04:38:00+00:00,B1
260,Case_948,D,2023-01-02 04:39:00+00:00,D
261,Case_948,B1,2023-01-02 04:43:00+00:00,B1
262,Case_20,A,2023-01-02 04:59:00+00:00,A
263,Case_431,A,2023-01-02 05:03:00+00:00,A
264,Case_3,A,2023-01-02 05:03:00+00:00,A
265,Case_449,A,2023-01-02 05:04:00+00:00,A
266,Case_706,B2,2023-01-02 05:04:00+00:00,B2
267,Case_542,A,2023-01-02 05:07:00+00:00,A
268,Case_948,B2,2023-01-02 05:09:00+00:00,B2
269,Case_431,F,2023-01-02 05:17:00+00:00,F
270,Case_20,C,2023-01-02 05:23:00+00:00,C
271,Case_20,D,2023-01-02 05:25:00+00:00,D
272,Case_649,A,2023-01-02 05:27:00+00:00,A
273,Case_20,B1,2023-01-02 05:30:00+00:00,B1
274,Case_3,F,2023-01-02 05:33:00+00:00,F
275,Case_653,A,2023-01-02 05:36:00+00:00,A
276,Case_706,A,2023-01-02 05:37:00+00:00,A
277,Case_948,A,2023-01-02 05:38:00+00:00,A
278,Case_653,C,2023-01-02 05:50:00+00:00,C
279,Case_653,B1,2023-01-02 05:54:00+00:00,B1
280,Case_649,C,2023-01-02 05:55:00+00:00,C
281,Case_653,D,2023-01-02 05:55:00+00:00,D
282,Case_649,D,2023-01-02 05:56:00+00:00,D
283,Case_948,F,2023-01-02 06:00:00+00:00,F
284,Case_649,B1,2023-01-02 06:01:00+00:00,B1
285,Case_706,F,2023-01-02 06:01:00+00:00,F
286,Case_20,B2,2023-01-02 06:04:00+00:00,B2
287,Case_462,A,2023-01-02 06:08:00+00:00,A
288,Case_431,A,2023-01-02 06:15:00+00:00,A
289,Case_462,C,2023-01-02 06:21:00+00:00,C
290,Case_462,D,2023-01-02 06:22:00+00:00,D
291,Case_649,B2,2023-01-02 06:22:00+00:00,B2
292,Case_462,B1,2023-01-02 06:23:00+00:00,B1
293,Case_20,A,2023-01-02 06:31:00+00:00,A
294,Case_653,B2,2023-01-02 06:36:00+00:00,B2
295,Case_3,A,2023-01-02 06:39:00+00:00,A
296,Case_948,A,2023-01-02 06:42:00+00:00,A
297,Case_20,E1,2023-01-02 06:42:00+00:00,E1
298,Case_462,B2,2023-01-02 06:49:00+00:00,B2
299,Case_706,A,2023-01-02 06:51:00+00:00,A
300,Case_20,E2,2023-01-02 07:09:00+00:00,E2
301,Case_653,A,2023-01-02 07:10:00+00:00,A
302,Case_649,A,2023-01-02 07:19:00+00:00,A
303,Case_762,A,2023-01-02 07:20:00+00:00,A
304,Case_653,E1,2023-01-02 07:24:00+00:00,E1
305,Case_20,A,2023-01-02 07:28:00+00:00,A
306,Case_462,A,2023-01-02 07:33:00+00:00,A
307,Case_649,E1,2023-01-02 07:35:00+00:00,E1
308,Case_762,C,2023-01-02 07:38:00+00:00,C
309,Case_762,D,2023-01-02 07:40:00+00:00,D
310,Case_640,A,2023-01-02 07:42:00+00:00,A
311,Case_762,B1,2023-01-02 07:43:00+00:00,B1
312,Case_462,F,2023-01-02 08:01:00+00:00,F
313,Case_649,E2,2023-01-02 08:02:00+00:00,E2
314,Case_640,C,2023-01-02 08:08:00+00:00,C
315,Case_653,E2,2023-01-02 08:09:00+00:00,E2
316,Case_640,D,2023-01-02 08:09:00+00:00,D
317,Case_640,B1,2023-01-02 08:14:00+00:00,B1
318,Case_762,B2,2023-01-02 08:14:00+00:00,B2
319,Case_649,A,2023-01-02 08:27:00+00:00,A
320,Case_653,A,2023-01-02 08:29:00+00:00,A
321,Case_14,A,2023-01-02 08:32:00+00:00,A
322,Case_640,B2,2023-01-02 08:36:00+00:00,B2
323,Case_462,A,2023-01-02 08:47:00+00:00,A
324,Case_762,A,2023-01-02 08:52:00+00:00,A
325,Case_14,C,2023-01-02 08:58:00+00:00,C
326,Case_14,B1,2023-01-02 09:00:00+00:00,B1
327,Case_14,D,2023-01-02 09:02:00+00:00,D
328,Case_762,F,2023-01-02 09:04:00+00:00,F
329,Case_14,B2,2023-01-02 09:16:00+00:00,B2
330,Case_640,A,2023-01-02 09:35:00+00:00,A
331,Case_640,E1,2023-01-02 09:46:00+00:00,E1
332,Case_683,A,2023-01-02 09:53:00+00:00,A
333,Case_762,A,2023-01-02 10:02:00+00:00,A
334,Case_14,A,2023-01-02 10:08:00+00:00,A
335,Case_220,A,2023-01-02 10:18:00+00:00,A
336,Case_683,C,2023-01-02 10:18:00+00:00,C
337,Case_683,B1,2023-01-02 10:20:00+00:00,B1
338,Case_683,D,2023-01-02 10:22:00+00:00,D
339,Case_14,F,2023-01-02 10:30:00+00:00,F
340,Case_640,E2,2023-01-02 10:35:00+00:00,E2
341,Case_13,A,2023-01-02 10:42:00+00:00,A
342,Case_683,B2,2023-01-02 10:45:00+00:00,B2
343,Case_220,C,2023-01-02 10:47:00+00:00,C
344,Case_220,D,2023-01-02 10:52:00+00:00,D
345,Case_220,B1,2023-01-02 10:54:00+00:00,B1
346,Case_93,A,2023-01-02 11:03:00+00:00,A
347,Case_14,A,2023-01-02 11:11:00+00:00,A
348,Case_640,A,2023-01-02 11:11:00+00:00,A
349,Case_13,C,2023-01-02 11:11:00+00:00,C
350,Case_13,D,2023-01-02 11:12:00+00:00,D
351,Case_13,B1,2023-01-02 11:18:00+00:00,B1
352,Case_220,B2,2023-01-02 11:19:00+00:00,B2
353,Case_93,C,2023-01-02 11:26:00+00:00,C
354,Case_93,D,2023-01-02 11:30:00+00:00,D
355,Case_93,B1,2023-01-02 11:31:00+00:00,B1
356,Case_13,B2,2023-01-02 11:36:00+00:00,B2
357,Case_905,A,2023-01-02 11:39:00+00:00,A
358,Case_683,A,2023-01-02 11:43:00+00:00,A
359,Case_905,C,2023-01-02 11:57:00+00:00,C
360,Case_683,F,2023-01-02 11:57:00+00:00,F
361,Case_905,D,2023-01-02 11:59:00+00:00,D
362,Case_905,B1,2023-01-02 12:02:00+00:00,B1
363,Case_220,A,2023-01-02 12:03:00+00:00,A
364,Case_93,B2,2023-01-02 12:09:00+00:00,B2
365,Case_905,B2,2023-01-02 12:19:00+00:00,B2
366,Case_13,A,2023-01-02 12:31:00+00:00,A
367,Case_220,E1,2023-01-02 12:32:00+00:00,E1
368,Case_93,A,2023-01-02 12:35:00+00:00,A
369,Case_13,F,2023-01-02 12:47:00+00:00,F
370,Case_683,A,2023-01-02 12:49:00+00:00,A
371,Case_93,F,2023-01-02 12:55:00+00:00,F
372,Case_220,E2,2023-01-02 13:06:00+00:00,E2
373,Case_905,A,2023-01-02 13:07:00+00:00,A
374,Case_905,F,2023-01-02 13:19:00+00:00,F
375,Case_13,A,2023-01-02 13:36:00+00:00,A
376,Case_220,A,2023-01-02 13:37:00+00:00,A
377,Case_905,A,2023-01-02 14:00:00+00:00,A
378,Case_93,A,2023-01-02 14:12:00+00:00,A
379,Case_407,A,2023-01-02 15:21:00+00:00,A
380,Case_407,C,2023-01-02 15:42:00+00:00,C
381,Case_407,B1,2023-01-02 15:44:00+00:00,B1
382,Case_407,D,2023-01-02 15:44:00+00:00,D
383,Case_982,A,2023-01-02 16:04:00+00:00,A
384,Case_407,B2,2023-01-02 16:17:00+00:00,B2
385,Case_982,C,2023-01-02 16:27:00+00:00,C
386,Case_982,B1,2023-01-02 16:29:00+00:00,B1
387,Case_982,D,2023-01-02 16:31:00+00:00,D
388,Case_407,A,2023-01-02 17:12:00+00:00,A
389,Case_982,B2,2023-01-02 17:14:00+00:00,B2
390,Case_407,F,2023-01-02 17:39:00+00:00,F
391,Case_468,A,2023-01-02 17:47:00+00:00,A
392,Case_982,A,2023-01-02 17:52:00+00:00,A
393,Case_468,C,2023-01-02 18:15:00+00:00,C
394,Case_468,D,2023-01-02 18:17:00+00:00,D
395,Case_440,A,2023-01-02 18:17:00+00:00,A
396,Case_982,F,2023-01-02 18:21:00+00:00,F
397,Case_407,A,2023-01-02 18:21:00+00:00,A
398,Case_468,B1,2023-01-02 18:22:00+00:00,B1
399,Case_440,C,2023-01-02 18:38:00+00:00,C
400,Case_440,B1,2023-01-02 18:41:00+00:00,B1
401,Case_440,D,2023-01-02 18:41:00+00:00,D
402,Case_468,B2,2023-01-02 18:52:00+00:00,B2
403,Case_982,A,2023-01-02 19:02:00+00:00,A
404,Case_440,B2,2023-01-02 19:21:00+00:00,B2
405,Case_321,A,2023-01-02 19:24:00+00:00,A
406,Case_468,A,2023-01-02 19:26:00+00:00,A
407,Case_943,A,2023-01-02 19:32:00+00:00,A
408,Case_417,A,2023-01-02 19:34:00+00:00,A
409,Case_468,F,2023-01-02 19:39:00+00:00,F
410,Case_943,C,2023-01-02 19:51:00+00:00,C
411,Case_943,B1,2023-01-02 19:53:00+00:00,B1
412,Case_321,C,2023-01-02 19:53:00+00:00,C
413,Case_943,D,2023-01-02 19:54:00+00:00,D
414,Case_956,A,2023-01-02 19:56:00+00:00,A
415,Case_682,A,2023-01-02 19:58:00+00:00,A
416,Case_321,D,2023-01-02 19:58:00+00:00,D
417,Case_321,B1,2023-01-02 19:59:00+00:00,B1
418,Case_417,C,2023-01-02 20:04:00+00:00,C
419,Case_417,D,2023-01-02 20:05:00+00:00,D
420,Case_440,A,2023-01-02 20:08:00+00:00,A
421,Case_682,C,2023-01-02 20:09:00+00:00,C
422,Case_417,B1,2023-01-02 20:10:00+00:00,B1
423,Case_682,D,2023-01-02 20:10:00+00:00,D
424,Case_943,B2,2023-01-02 20:13:00+00:00,B2
425,Case_682,B1,2023-01-02 20:14:00+00:00,B1
426,Case_956,C,2023-01-02 20:17:00+00:00,C
427,Case_956,D,2023-01-02 20:20:00+00:00,D
428,Case_956,B1,2023-01-02 20:23:00+00:00,B1
429,Case_417,B2,2023-01-02 20:31:00+00:00,B2
430,Case_440,E1,2023-01-02 20:35:00+00:00,E1
431,Case_321,B2,2023-01-02 20:43:00+00:00,B2
432,Case_468,A,2023-01-02 20:49:00+00:00,A
433,Case_682,B2,2023-01-02 20:50:00+00:00,B2
434,Case_721,A,2023-01-02 20:51:00+00:00,A
435,Case_956,B2,2023-01-02 20:57:00+00:00,B2
436,Case_721,C,2023-01-02 21:07:00+00:00,C
437,Case_721,B1,2023-01-02 21:11:00+00:00,B1
438,Case_721,D,2023-01-02 21:12:00+00:00,D
439,Case_417,A,2023-01-02 21:17:00+00:00,A
440,Case_943,A,2023-01-02 21:19:00+00:00,A
441,Case_321,A,2023-01-02 21:20:00+00:00,A
442,Case_440,E2,2023-01-02 21:21:00+00:00,E2
443,Case_321,F,2023-01-02 21:30:00+00:00,F
444,Case_956,A,2023-01-02 21:34:00+00:00,A
445,Case_682,A,2023-01-02 21:37:00+00:00,A
446,Case_721,B2,2023-01-02 21:39:00+00:00,B2
447,Case_417,F,2023-01-02 21:40:00+00:00,F
448,Case_414,A,2023-01-02 21:41:00+00:00,A
449,Case_956,F,2023-01-02 21:45:00+00:00,F
450,Case_943,E1,2023-01-02 21:47:00+00:00,E1
451,Case_440,A,2023-01-02 21:55:00+00:00,A
452,Case_682,E1,2023-01-02 22:02:00+00:00,E1
453,Case_414,C,2023-01-02 22:07:00+00:00,C
454,Case_943,E2,2023-01-02 22:09:00+00:00,E2
455,Case_414,B1,2023-01-02 22:10:00+00:00,B1
456,Case_414,D,2023-01-02 22:10:00+00:00,D
457,Case_417,A,2023-01-02 22:25:00+00:00,A
458,Case_721,A,2023-01-02 22:25:00+00:00,A
459,Case_943,A,2023-01-02 22:28:00+00:00,A
460,Case_682,E2,2023-01-02 22:35:00+00:00,E2
461,Case_414,B2,2023-01-02 22:37:00+00:00,B2
462,Case_721,E1,2023-01-02 22:44:00+00:00,E1
463,Case_321,A,2023-01-02 22:49:00+00:00,A
464,Case_682,A,2023-01-02 22:58:00+00:00,A
465,Case_956,A,2023-01-02 22:59:00+00:00,A
466,Case_721,E2,2023-01-02 23:22:00+00:00,E2
467,Case_46,A,2023-01-02 23:27:00+00:00,A
468,Case_414,A,2023-01-02 23:35:00+00:00,A
469,Case_46,C,2023-01-02 23:43:00+00:00,C
470,Case_46,D,2023-01-02 23:45:00+00:00,D
471,Case_414,F,2023-01-02 23:46:00+00:00,F
472,Case_46,B1,2023-01-02 23:47:00+00:00,B1
473,Case_721,A,2023-01-02 23:52:00+00:00,A
474,Case_391,A,2023-01-03 00:09:00+00:00,A
475,Case_46,B2,2023-01-03 00:11:00+00:00,B2
476,Case_391,C,2023-01-03 00:24:00+00:00,C
477,Case_482,A,2023-01-03 00:28:00+00:00,A
478,Case_391,D,2023-01-03 00:28:00+00:00,D
479,Case_391,B1,2023-01-03 00:31:00+00:00,B1
480,Case_482,C,2023-01-03 00:40:00+00:00,C
481,Case_414,A,2023-01-03 00:40:00+00:00,A
482,Case_482,D,2023-01-03 00:41:00+00:00,D
483,Case_482,B1,2023-01-03 00:42:00+00:00,B1
484,Case_391,B2,2023-01-03 00:53:00+00:00,B2
485,Case_46,A,2023-01-03 01:02:00+00:00,A
486,Case_482,B2,2023-01-03 01:11:00+00:00,B2
