Case,Activity,Timestamp,Resource,Injection,org,EventID
13,Check for completeness,2023-09-29 16:47:07.319,Clerk-000001,,Check for completeness,125
14,New online application received,2023-09-29 16:51:09.691,,,New online application received,126
14,Check for completeness,2023-09-29 16:51:09.691,Clerk-000002,,Check for completeness,127
14,application check,2023-09-29 16:54:07.012,Clerk-000006,homonymous Label(Activity:'Perform checks'),Perform checks,128
13,Perform checks,2023-09-29 16:54:38.964,Clerk-000004,,Perform checks,129
12,application check,2023-09-29 17:02:39.723,Clerk-000002,homonymous Label(Activity:'Perform checks'),Perform checks,130
14,Make decision,2023-09-29 17:08:43.888,Manager-000001,,Make decision,131
12,Make decision,2023-09-29 17:13:16.697,Manager-000003,,Make decision,132
12,Notify accept,2023-09-29 17:13:45.470,Manager-000005,,Notify accept,133
13,Make decision,2023-09-29 17:22:15.988,Manager-000002,,Make decision,134
14,send notification,2023-09-29 17:40:01.342,Manager-000003,homonymous Label(Activity:'notify reject'),notify reject,135
16,Check for completeness,2023-09-29 17:45:26.578,Clerk-000005,,Check for completeness,137
16,New online application received,2023-09-29 17:45:26.578,,,New online application received,136
12,Deliver card,2023-09-29 17:46:09.886,Manager-000004,,Deliver card,138
12,EVENT 13 END,2023-09-29 17:47:16.773,,,EVENT 13 END,139
13,notify reject,2023-09-29 17:51:15.597,Manager-000006,,notify reject,140
16,Request info,2023-09-29 17:53:49.426,Manager-000001,,Request info,141
17,receive information,2023-09-29 17:57:31.716,,homonymous Label(Activity:'New online application received'),New online application received,142
17,Check for completeness,2023-09-29 17:57:31.716,Clerk-000006,,Check for completeness,143
16,request information,2023-09-29 17:58:04.022,,homonymous Label(Activity:'info received'),info received,144
16,Check for completeness,2023-09-29 17:58:14.022,Clerk-000002,,Check for completeness,145
13,review request received,2023-09-29 18:02:09.808,,,review request received,146
13,Check for completeness,2023-09-29 18:02:19.808,Clerk-000003,,Check for completeness,147
14,time out,2023-09-29 18:03:59.442,,,time out,148
14,EVENT 13 END,2023-09-29 18:04:09.442,,,EVENT 13 END,149
17,application check,2023-09-29 18:05:01.489,Clerk-000001,homonymous Label(Activity:'Perform checks'),Perform checks,150
18,Check for completeness,2023-09-29 18:06:16.258,Clerk-000004,,Check for completeness,151
18,New online application received,2023-09-29 18:06:16.258,,,New online application received,152
17,Make decision,2023-09-29 18:09:25.830,Manager-000005,,Make decision,153
13,Request info,2023-09-29 18:09:51.649,Manager-000004,,Request info,154
18,Perform checks,2023-09-29 18:13:12.412,Clerk-000005,,Perform checks,155
13,info received,2023-09-29 18:14:41.199,,,info received,156
13,Check for completeness,2023-09-29 18:14:51.199,Clerk-000006,,Check for completeness,157
16,Request info,2023-09-29 18:17:55.674,Manager-000002,,Request info,158
18,Make decision,2023-09-29 18:20:12.699,Manager-000001,,Make decision,159
13,Request info,2023-09-29 18:26:33.083,Manager-000003,,Request info,160
17,send notification,2023-09-29 18:27:15.122,Manager-000004,homonymous Label(Activity:'notify reject'),notify reject,161
13,request information,2023-09-29 18:37:59.483,,homonymous Label(Activity:'info received'),info received,162
13,Check for completeness,2023-09-29 18:38:09.483,Clerk-000004,,Check for completeness,163
16,request information,2023-09-29 18:38:16.236,,homonymous Label(Activity:'info received'),info received,164
18,Notify accept,2023-09-29 18:38:19.445,Manager-000005,,Notify accept,165
16,Check for completeness,2023-09-29 18:38:26.236,Clerk-000002,,Check for completeness,166
18,Deliver card,2023-09-29 18:39:58.666,Manager-000006,,Deliver card,167
16,application check,2023-09-29 18:40:28.271,Clerk-000005,homonymous Label(Activity:'Perform checks'),Perform checks,168
16,Make decision,2023-09-29 18:41:20.445,Manager-000003,,Make decision,169
16,send notification,2023-09-29 18:49:29.967,Manager-000002,homonymous Label(Activity:'Notify accept'),Notify accept,170
17,time out,2023-09-29 18:50:25.809,,,time out,171
17,EVENT 13 END,2023-09-29 18:50:35.809,,,EVENT 13 END,172
18,EVENT 13 END,2023-09-29 18:51:28.231,,,EVENT 13 END,173
13,Perform checks,2023-09-29 19:01:11.416,Clerk-000006,,Perform checks,174
13,Make decision,2023-09-29 19:08:51.860,Manager-000001,,Make decision,175
20,New online application received,2023-09-29 19:19:25.291,,,New online application received,176
20,Check for completeness,2023-09-29 19:19:25.291,Clerk-000002,,Check for completeness,177
13,notify reject,2023-09-29 19:22:36.736,Manager-000004,,notify reject,178
20,Request info,2023-09-29 19:23:40.250,Manager-000006,,Request info,179
16,Deliver card,2023-09-29 19:25:53.029,Manager-000005,,Deliver card,180
20,request information,2023-09-29 19:27:24.092,,homonymous Label(Activity:'info received'),info received,181
20,Check for completeness,2023-09-29 19:27:34.092,Clerk-000005,,Check for completeness,182
16,EVENT 13 END,2023-09-29 19:31:06.291,,,EVENT 13 END,183
13,review request received,2023-09-29 19:35:39.940,,,review request received,184
13,Check for completeness,2023-09-29 19:35:49.940,Clerk-000003,,Check for completeness,185
20,Request info,2023-09-29 19:39:11.217,Manager-000001,,Request info,186
13,request information,2023-09-29 19:39:16.010,Manager-000002,homonymous Label(Activity:'Request info'),Request info,187
20,info received,2023-09-29 19:45:50.472,,,info received,188
20,Check for completeness,2023-09-29 19:46:00.472,Clerk-000006,,Check for completeness,189
20,Request info,2023-09-29 19:46:31.227,Manager-000006,,Request info,190
20,info received,2023-09-29 19:48:39.020,,,info received,191
20,Check for completeness,2023-09-29 19:48:49.020,Clerk-000001,,Check for completeness,192
13,info received,2023-09-29 20:04:20.804,,,info received,193
13,Check for completeness,2023-09-29 20:04:30.804,Clerk-000002,,Check for completeness,194
20,Perform checks,2023-09-29 20:11:57.183,Clerk-000005,,Perform checks,195
20,Make decision,2023-09-29 20:13:50.754,Manager-000004,,Make decision,196
13,request information,2023-09-29 20:19:37.681,Manager-000003,homonymous Label(Activity:'Request info'),Request info,197
13,request information,2023-09-29 20:28:28.849,,homonymous Label(Activity:'info received'),info received,198
13,Check for completeness,2023-09-29 20:28:38.849,Clerk-000006,,Check for completeness,199
13,application check,2023-09-29 20:38:40.292,Clerk-000004,homonymous Label(Activity:'Perform checks'),Perform checks,200
20,send notification,2023-09-29 20:41:11.134,Manager-000001,homonymous Label(Activity:'Notify accept'),Notify accept,201
20,Deliver card,2023-09-29 20:41:45.634,Manager-000006,,Deliver card,202
21,receive information,2023-09-29 20:41:51.439,,homonymous Label(Activity:'New online application received'),New online application received,203
21,Check for completeness,2023-09-29 20:41:51.439,Clerk-000001,,Check for completeness,204
20,EVENT 13 END,2023-09-29 20:41:54.646,,,EVENT 13 END,205
13,Make decision,2023-09-29 20:43:33.832,Manager-000002,,Make decision,206
13,notify reject,2023-09-29 20:53:08.449,Manager-000005,,notify reject,207
21,Perform checks,2023-09-29 21:00:54.004,Clerk-000002,,Perform checks,208
13,receive information,2023-09-29 21:03:06.372,,homonymous Label(Activity:'review request received'),review request received,209
13,Check for completeness,2023-09-29 21:03:16.372,Clerk-000006,,Check for completeness,210
21,Make decision,2023-09-29 21:06:42.607,Manager-000006,,Make decision,211
21,notify reject,2023-09-29 21:07:22.401,Manager-000002,,notify reject,212
13,application check,2023-09-29 21:20:39.128,Clerk-000003,homonymous Label(Activity:'Perform checks'),Perform checks,213
13,Make decision,2023-09-29 21:22:46.639,Manager-000003,,Make decision,214
13,notify reject,2023-09-29 21:23:32.611,Manager-000004,,notify reject,215
13,time out,2023-09-29 21:33:15.823,,,time out,216
13,EVENT 13 END,2023-09-29 21:33:25.823,,,EVENT 13 END,217
21,review request received,2023-09-29 21:42:51.560,,,review request received,218
21,Check for completeness,2023-09-29 21:43:01.560,Clerk-000005,,Check for completeness,219
21,request information,2023-09-29 21:51:47.651,Manager-000005,homonymous Label(Activity:'Request info'),Request info,220
21,request information,2023-09-29 21:52:47.742,,homonymous Label(Activity:'info received'),info received,221
21,Check for completeness,2023-09-29 21:52:57.742,Clerk-000001,,Check for completeness,222
21,request information,2023-09-29 21:56:52.475,Manager-000001,homonymous Label(Activity:'Request info'),Request info,223
21,info received,2023-09-29 22:13:45.867,,,info received,224
21,Check for completeness,2023-09-29 22:13:55.867,Clerk-000006,,Check for completeness,225
21,application check,2023-09-29 22:15:28.052,Clerk-000003,homonymous Label(Activity:'Perform checks'),Perform checks,226
21,Make decision,2023-09-29 22:17:11.249,Manager-000004,,Make decision,227
21,send notification,2023-09-29 22:18:43.086,Manager-000002,homonymous Label(Activity:'notify reject'),notify reject,228
21,time out,2023-09-29 22:23:17.465,,,time out,229
21,EVENT 13 END,2023-09-29 22:23:27.465,,,EVENT 13 END,230
27,receive information,2023-10-02 02:35:38.612,,homonymous Label(Activity:'New online application received'),New online application received,231
27,Check for completeness,2023-10-02 02:35:38.612,Clerk-000001,,Check for completeness,232
27,request information,2023-10-02 02:47:52.422,Manager-000004,homonymous Label(Activity:'Request info'),Request info,233
27,request information,2023-10-02 03:03:20.832,,homonymous Label(Activity:'info received'),info received,234
27,Check for completeness,2023-10-02 03:03:30.832,Clerk-000002,,Check for completeness,235
27,Request info,2023-10-02 03:15:57.436,Manager-000001,,Request info,236
27,info received,2023-10-02 03:21:38.352,,,info received,237
27,Check for completeness,2023-10-02 03:21:48.352,Clerk-000005,,Check for completeness,238
27,application check,2023-10-02 03:25:16.538,Clerk-000001,homonymous Label(Activity:'Perform checks'),Perform checks,239
28,New online application received,2023-10-02 03:49:49.031,,,New online application received,240
28,Check for completeness,2023-10-02 03:49:49.031,Clerk-000006,,Check for completeness,241
28,Perform checks,2023-10-02 03:55:14.876,Clerk-000002,,Perform checks,242
28,Make decision,2023-10-02 04:02:53.440,Manager-000003,,Make decision,243
28,notify reject,2023-10-02 04:04:38.433,Manager-000002,,notify reject,244
27,Make decision,2023-10-02 04:05:20.438,Manager-000006,,Make decision,245
27,Notify accept,2023-10-02 04:09:21.023,Manager-000001,,Notify accept,246
27,Deliver card,2023-10-02 04:10:02.043,Manager-000005,,Deliver card,247
28,receive information,2023-10-02 04:12:29.466,,homonymous Label(Activity:'review request received'),review request received,248
28,Check for completeness,2023-10-02 04:12:39.466,Clerk-000005,,Check for completeness,249
27,EVENT 13 END,2023-10-02 04:13:19.372,,,EVENT 13 END,250
28,application check,2023-10-02 04:13:22.011,Clerk-000003,homonymous Label(Activity:'Perform checks'),Perform checks,251
28,Make decision,2023-10-02 04:16:26.207,Manager-000003,,Make decision,252
28,Notify accept,2023-10-02 04:21:12.631,Manager-000001,,Notify accept,253
28,Deliver card,2023-10-02 04:31:16.152,Manager-000002,,Deliver card,254
28,EVENT 13 END,2023-10-02 04:54:08.875,,,EVENT 13 END,255
29,Check for completeness,2023-10-02 05:24:14.094,Clerk-000005,,Check for completeness,256
29,receive information,2023-10-02 05:24:14.094,,homonymous Label(Activity:'New online application received'),New online application received,257
29,Perform checks,2023-10-02 05:34:29.426,Clerk-000003,,Perform checks,258
29,Make decision,2023-10-02 05:41:14.108,Manager-000001,,Make decision,259
30,Check for completeness,2023-10-02 05:42:19.668,Clerk-000004,,Check for completeness,260
30,receive information,2023-10-02 05:42:19.668,,homonymous Label(Activity:'New online application received'),New online application received,261
31,receive information,2023-10-02 05:48:39.561,,homonymous Label(Activity:'New online application received'),New online application received,263
31,Check for completeness,2023-10-02 05:48:39.561,Clerk-000006,,Check for completeness,262
29,Notify accept,2023-10-02 05:51:12.013,Manager-000006,,Notify accept,264
30,Request info,2023-10-02 05:52:35.453,Manager-000005,,Request info,265
31,Perform checks,2023-10-02 05:56:02.659,Clerk-000002,,Perform checks,266
30,info received,2023-10-02 05:57:42.363,,,info received,267
30,Check for completeness,2023-10-02 05:57:52.363,Clerk-000001,,Check for completeness,268
30,application check,2023-10-02 05:58:43.926,Clerk-000005,homonymous Label(Activity:'Perform checks'),Perform checks,269
30,Make decision,2023-10-02 06:07:16.031,Manager-000002,,Make decision,270
29,Deliver card,2023-10-02 06:10:59.128,Manager-000004,,Deliver card,271
31,Make decision,2023-10-02 06:11:53.392,Manager-000003,,Make decision,272
31,notify reject,2023-10-02 06:14:01.523,Manager-000001,,notify reject,273
29,EVENT 13 END,2023-10-02 06:15:00.259,,,EVENT 13 END,274
30,send notification,2023-10-02 06:33:37.019,Manager-000005,homonymous Label(Activity:'notify reject'),notify reject,275
30,review request received,2023-10-02 06:38:09.262,,,review request received,276
30,Check for completeness,2023-10-02 06:38:19.262,Clerk-000003,,Check for completeness,277
30,request information,2023-10-02 06:39:34.425,Manager-000006,homonymous Label(Activity:'Request info'),Request info,278
30,request information,2023-10-02 06:42:00.757,,homonymous Label(Activity:'info received'),info received,279
30,Check for completeness,2023-10-02 06:42:10.757,Clerk-000004,,Check for completeness,280
31,time out,2023-10-02 06:42:24.600,,,time out,281
31,EVENT 13 END,2023-10-02 06:42:34.600,,,EVENT 13 END,282
30,application check,2023-10-02 06:48:51.594,Clerk-000006,homonymous Label(Activity:'Perform checks'),Perform checks,283
32,receive information,2023-10-02 06:52:06.060,,homonymous Label(Activity:'New online application received'),New online application received,284
32,Check for completeness,2023-10-02 06:52:06.060,Clerk-000001,,Check for completeness,285
30,Make decision,2023-10-02 06:53:19.364,Manager-000003,,Make decision,286
30,send notification,2023-10-02 06:59:31.135,Manager-000004,homonymous Label(Activity:'notify reject'),notify reject,287
32,Perform checks,2023-10-02 07:03:28.738,Clerk-000005,,Perform checks,288
32,Make decision,2023-10-02 07:04:09.558,Manager-000002,,Make decision,289
30,review request received,2023-10-02 07:05:03.394,,,review request received,290
30,Check for completeness,2023-10-02 07:05:13.394,Clerk-000002,,Check for completeness,291
30,Perform checks,2023-10-02 07:08:21.739,Clerk-000003,,Perform checks,292
32,send notification,2023-10-02 07:18:17.428,Manager-000005,homonymous Label(Activity:'Notify accept'),Notify accept,293
30,Make decision,2023-10-02 07:26:14.396,Manager-000006,,Make decision,294
30,Notify accept,2023-10-02 07:28:17.295,Manager-000001,,Notify accept,295
30,Deliver card,2023-10-02 07:29:48.995,Manager-000003,,Deliver card,296
30,EVENT 13 END,2023-10-02 07:48:23.876,,,EVENT 13 END,297
33,Check for completeness,2023-10-02 07:48:55.859,Clerk-000004,,Check for completeness,298
33,receive information,2023-10-02 07:48:55.859,,homonymous Label(Activity:'New online application received'),New online application received,299
32,Deliver card,2023-10-02 07:57:29.408,Manager-000004,,Deliver card,300
33,Perform checks,2023-10-02 08:01:31.352,Clerk-000006,,Perform checks,301
33,Make decision,2023-10-02 08:06:22.173,Manager-000002,,Make decision,302
32,EVENT 13 END,2023-10-02 08:10:54.897,,,EVENT 13 END,303
33,send notification,2023-10-02 08:17:10.626,Manager-000006,homonymous Label(Activity:'Notify accept'),Notify accept,304
33,Deliver card,2023-10-02 08:19:25.321,Manager-000001,,Deliver card,305
33,EVENT 13 END,2023-10-02 08:19:37.157,,,EVENT 13 END,306
34,receive information,2023-10-02 11:18:14.023,,homonymous Label(Activity:'New online application received'),New online application received,307
34,Check for completeness,2023-10-02 11:18:14.023,Clerk-000001,,Check for completeness,308
34,application check,2023-10-02 11:18:27.536,Clerk-000005,homonymous Label(Activity:'Perform checks'),Perform checks,309
34,Make decision,2023-10-02 11:41:33.904,Manager-000003,,Make decision,310
34,Notify accept,2023-10-02 11:51:27.177,Manager-000005,,Notify accept,311
34,Deliver card,2023-10-02 11:52:37.583,Manager-000004,,Deliver card,312
34,EVENT 13 END,2023-10-02 11:57:25.412,,,EVENT 13 END,313
35,Check for completeness,2023-10-02 12:27:24.477,Clerk-000002,,Check for completeness,314
35,New online application received,2023-10-02 12:27:24.477,,,New online application received,315
35,application check,2023-10-02 12:31:02.687,Clerk-000003,homonymous Label(Activity:'Perform checks'),Perform checks,316
35,Make decision,2023-10-02 12:43:29.450,Manager-000002,,Make decision,317
35,notify reject,2023-10-02 12:48:13.381,Manager-000006,,notify reject,318
35,time out,2023-10-02 12:50:31.833,,,time out,319
35,EVENT 13 END,2023-10-02 12:50:41.833,,,EVENT 13 END,320
36,receive information,2023-10-02 12:58:27.972,,homonymous Label(Activity:'New online application received'),New online application received,321
36,Check for completeness,2023-10-02 12:58:27.972,Clerk-000004,,Check for completeness,322
36,Request info,2023-10-02 13:07:43.351,Manager-000001,,Request info,323
36,request information,2023-10-02 13:14:11.813,,homonymous Label(Activity:'info received'),info received,324
36,Check for completeness,2023-10-02 13:14:21.813,Clerk-000006,,Check for completeness,325
36,application check,2023-10-02 13:19:25.821,Clerk-000001,homonymous Label(Activity:'Perform checks'),Perform checks,326
36,Make decision,2023-10-02 13:23:39.609,Manager-000003,,Make decision,327
36,notify reject,2023-10-02 13:32:34.595,Manager-000005,,notify reject,328
37,New online application received,2023-10-02 13:35:00.778,,,New online application received,329
37,Check for completeness,2023-10-02 13:35:00.778,Clerk-000005,,Check for completeness,330
36,receive information,2023-10-02 13:38:06.806,,homonymous Label(Activity:'review request received'),review request received,331
36,Check for completeness,2023-10-02 13:38:16.806,Clerk-000002,,Check for completeness,332
36,Request info,2023-10-02 13:38:32.361,Manager-000004,,Request info,333
37,request information,2023-10-02 13:39:43.208,Manager-000002,homonymous Label(Activity:'Request info'),Request info,334
37,info received,2023-10-02 13:39:56.760,,,info received,335
37,Check for completeness,2023-10-02 13:40:06.760,Clerk-000003,,Check for completeness,336
37,Perform checks,2023-10-02 13:43:29.856,Clerk-000004,,Perform checks,337
36,info received,2023-10-02 13:46:49.078,,,info received,338
36,Check for completeness,2023-10-02 13:46:59.078,Clerk-000006,,Check for completeness,339
37,Make decision,2023-10-02 13:50:11.398,Manager-000006,,Make decision,340
37,Notify accept,2023-10-02 14:13:21.042,Manager-000001,,Notify accept,341
37,Deliver card,2023-10-02 14:17:07.689,Manager-000003,,Deliver card,342
36,request information,2023-10-02 14:17:55.617,Manager-000005,homonymous Label(Activity:'Request info'),Request info,343
36,request information,2023-10-02 14:20:11.132,,homonymous Label(Activity:'info received'),info received,344
36,Check for completeness,2023-10-02 14:20:21.132,Clerk-000001,,Check for completeness,345
