Case,Activity,Timestamp,Resource,Injection,org,EventID
4,Prepare starter,2024-05-06 19:01:40.513,Cook helper-000003,,Prepare starter,47
4,Signal food complete,2024-05-06 19:01:41.077,Cook-000002,,Signal food complete,48
3,Bring drinks,2024-05-06 19:02:51.779,Barman-000001,,Bring drinks,49
3,review,2024-05-06 19:05:53.390,Waiter-000001,homonymous Label(Activity:'Review drinks'),Review drinks,50
4,bring order,2024-05-06 19:11:57.561,Barman-000002,homonymous Label(Activity:'Bring drinks'),Bring drinks,51
5,Take order,2024-05-06 19:15:00.000,Waiter-000004,,Take order,52
5,start,2024-05-06 19:15:00.000,,,start,53
5,Review order,2024-05-06 19:16:14.700,Waiter-000005,,Review order,54
5,prepare drinks,2024-05-06 19:16:25.545,Barman-000001,,prepare drinks,55
5,prepare order,2024-05-06 19:16:25.545,Cook-000003,homonymous Label(Activity:'Prepare main course'),Prepare main course,56
4,review,2024-05-06 19:16:42.082,Waiter-000002,homonymous Label(Activity:'Review drinks'),Review drinks,57
4,Bring food,2024-05-06 19:29:56.764,Cook helper-000002,,Bring food,58
6,start,2024-05-06 19:30:00.000,,,start,59
6,Take order,2024-05-06 19:30:00.000,Waiter-000003,,Take order,60
6,Review order,2024-05-06 19:30:01.617,Waiter-000001,,Review order,61
6,prepare order,2024-05-06 19:31:15.792,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,62
6,Prepare main course,2024-05-06 19:31:15.792,Cook-000002,,Prepare main course,63
6,bring order,2024-05-06 19:31:50.421,Barman-000002,homonymous Label(Activity:'Bring drinks'),Bring drinks,64
4,Deliver to customer,2024-05-06 19:32:28.195,Waiter-000004,,Deliver to customer,65
6,review,2024-05-06 19:34:50.443,Waiter-000005,homonymous Label(Activity:'Review drinks'),Review drinks,66
4,EVENT 8 END,2024-05-06 19:37:12.080,,,EVENT 8 END,67
6,Signal food complete,2024-05-06 19:37:16.849,Cook-000002,,Signal food complete,68
3,Signal food complete,2024-05-06 19:38:29.090,Cook-000001,,Signal food complete,69
5,bring order,2024-05-06 19:39:00.219,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,70
5,review,2024-05-06 19:41:06.362,Waiter-000002,homonymous Label(Activity:'Review drinks'),Review drinks,71
7,start,2024-05-06 19:45:00.000,,,start,72
7,Take order,2024-05-06 19:45:00.000,Waiter-000003,,Take order,73
7,Review order,2024-05-06 19:51:43.119,Waiter-000001,,Review order,74
7,prepare drinks,2024-05-06 19:52:56.552,Barman-000002,,prepare drinks,75
7,bring order,2024-05-06 19:54:05.837,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,76
7,review,2024-05-06 19:54:29.273,Waiter-000005,homonymous Label(Activity:'Review drinks'),Review drinks,77
7,Prepare main course,2024-05-06 19:56:37.626,Cook-000001,,Prepare main course,78
3,Bring food,2024-05-06 19:56:37.626,Cook helper-000001,,Bring food,79
5,Signal food complete,2024-05-06 19:57:21.743,Cook-000003,,Signal food complete,80
3,Deliver to customer,2024-05-06 19:59:50.671,Waiter-000004,,Deliver to customer,81
8,Take order,2024-05-06 20:00:00.000,Waiter-000002,,Take order,82
8,start,2024-05-06 20:00:00.000,,,start,83
8,Review order,2024-05-06 20:00:01.138,Waiter-000003,,Review order,84
8,Prepare starter,2024-05-06 20:00:04.147,Cook helper-000003,,Prepare starter,85
8,prepare order,2024-05-06 20:00:04.147,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,86
3,EVENT 8 END,2024-05-06 20:00:52.004,,,EVENT 8 END,87
8,bring order,2024-05-06 20:00:54.944,Barman-000002,homonymous Label(Activity:'Bring drinks'),Bring drinks,88
8,review,2024-05-06 20:04:36.073,Waiter-000001,homonymous Label(Activity:'Review drinks'),Review drinks,89
5,Bring food,2024-05-06 20:07:38.081,Cook helper-000002,,Bring food,91
8,prepare order,2024-05-06 20:07:38.081,Cook-000003,homonymous Label(Activity:'Prepare main course'),Prepare main course,90
5,Deliver to customer,2024-05-06 20:09:58.152,Waiter-000005,,Deliver to customer,92
5,EVENT 8 END,2024-05-06 20:10:29.307,,,EVENT 8 END,93
9,start,2024-05-06 20:15:00.000,,,start,94
9,Take order,2024-05-06 20:15:00.000,Waiter-000002,,Take order,95
8,Signal food complete,2024-05-06 20:16:46.824,Cook-000003,,Signal food complete,96
9,Review order,2024-05-06 20:17:11.153,Waiter-000003,,Review order,97
9,prepare drinks,2024-05-06 20:18:02.923,Barman-000001,,prepare drinks,98
9,bring order,2024-05-06 20:23:37.474,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,99
10,start,2024-05-06 20:30:00.000,,,start,100
10,Take order,2024-05-06 20:30:00.000,Waiter-000004,,Take order,101
9,review,2024-05-06 20:31:01.146,Waiter-000001,homonymous Label(Activity:'Review drinks'),Review drinks,102
10,Review order,2024-05-06 20:31:21.530,Waiter-000005,,Review order,103
10,prepare drinks,2024-05-06 20:32:09.910,Barman-000002,,prepare drinks,104
10,Bring drinks,2024-05-06 20:33:38.935,Barman-000001,,Bring drinks,105
9,prepare order,2024-05-06 20:34:05.125,Cook-000002,homonymous Label(Activity:'Prepare main course'),Prepare main course,106
6,Bring food,2024-05-06 20:34:05.125,Cook helper-000001,,Bring food,107
6,Deliver to customer,2024-05-06 20:34:19.232,Waiter-000002,,Deliver to customer,108
6,EVENT 8 END,2024-05-06 20:34:54.999,,,EVENT 8 END,109
10,Review drinks,2024-05-06 20:38:13.994,Waiter-000003,,Review drinks,110
10,prepare drinks,2024-05-06 20:40:22.120,Barman-000003,,prepare drinks,111
11,start,2024-05-06 20:45:00.000,,,start,112
11,Take order,2024-05-06 20:45:00.000,Waiter-000004,,Take order,113
11,review,2024-05-06 20:48:48.648,Waiter-000001,homonymous Label(Activity:'Review order'),Review order,114
11,prepare drinks,2024-05-06 20:48:56.785,Barman-000002,,prepare drinks,115
10,bring order,2024-05-06 20:53:19.368,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,116
10,Prepare main course,2024-05-06 20:54:46.925,Cook-000002,,Prepare main course,117
11,prepare order,2024-05-06 20:55:46.162,Cook-000003,homonymous Label(Activity:'Prepare main course'),Prepare main course,118
8,bring order,2024-05-06 20:55:46.162,Cook helper-000003,homonymous Label(Activity:'Bring food'),Bring food,119
12,Take order,2024-05-06 21:00:00.000,Waiter-000005,,Take order,120
12,start,2024-05-06 21:00:00.000,,,start,121
9,Signal food complete,2024-05-06 21:00:06.516,Cook-000002,,Signal food complete,122
8,Deliver to customer,2024-05-06 21:00:10.774,Waiter-000002,,Deliver to customer,123
12,review,2024-05-06 21:00:54.933,Waiter-000003,homonymous Label(Activity:'Review order'),Review order,124
12,prepare order,2024-05-06 21:01:31.654,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,125
8,EVENT 8 END,2024-05-06 21:01:36.429,,,EVENT 8 END,126
10,Review drinks,2024-05-06 21:02:35.065,Waiter-000004,,Review drinks,127
10,Signal food complete,2024-05-06 21:04:57.209,Cook-000003,,Signal food complete,128
11,bring order,2024-05-06 21:06:31.469,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,129
12,Prepare main course,2024-05-06 21:07:06.622,Cook-000002,,Prepare main course,130
9,Bring food,2024-05-06 21:07:06.622,Cook helper-000002,,Bring food,131
11,Review drinks,2024-05-06 21:07:36.392,Waiter-000001,,Review drinks,132
10,Bring food,2024-05-06 21:08:26.519,Cook helper-000001,,Bring food,133
11,Signal food complete,2024-05-06 21:08:26.519,Cook-000003,,Signal food complete,134
12,Bring drinks,2024-05-06 21:14:58.877,Barman-000002,,Bring drinks,135
13,start,2024-05-06 21:15:00.000,,,start,136
13,Take order,2024-05-06 21:15:00.000,Waiter-000005,,Take order,137
13,Review order,2024-05-06 21:15:07.729,Waiter-000003,,Review order,138
10,Deliver to customer,2024-05-06 21:15:44.921,Waiter-000002,,Deliver to customer,139
10,EVENT 8 END,2024-05-06 21:17:36.624,,,EVENT 8 END,140
13,prepare drinks,2024-05-06 21:17:42.504,Barman-000001,,prepare drinks,141
12,review,2024-05-06 21:17:57.534,Waiter-000004,homonymous Label(Activity:'Review drinks'),Review drinks,142
12,prepare order,2024-05-06 21:18:33.791,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,143
13,prepare order,2024-05-06 21:18:58.486,Cook-000002,homonymous Label(Activity:'Prepare main course'),Prepare main course,144
12,Signal food complete,2024-05-06 21:19:39.650,Cook-000002,,Signal food complete,145
9,Deliver to customer,2024-05-06 21:20:25.348,Waiter-000001,,Deliver to customer,146
13,bring order,2024-05-06 21:21:46.446,Barman-000002,homonymous Label(Activity:'Bring drinks'),Bring drinks,147
9,EVENT 8 END,2024-05-06 21:22:47.491,,,EVENT 8 END,148
12,bring order,2024-05-06 21:23:01.198,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,149
12,Bring food,2024-05-06 21:23:02.711,Cook helper-000003,,Bring food,150
13,Signal food complete,2024-05-06 21:23:02.711,Cook-000002,,Signal food complete,151
7,Signal food complete,2024-05-06 21:28:27.029,Cook-000001,,Signal food complete,152
14,Take order,2024-05-06 21:30:00.000,Waiter-000005,,Take order,153
14,start,2024-05-06 21:30:00.000,,,start,154
13,review,2024-05-06 21:32:28.342,Waiter-000002,homonymous Label(Activity:'Review drinks'),Review drinks,155
14,review,2024-05-06 21:32:44.152,Waiter-000003,homonymous Label(Activity:'Review order'),Review order,156
14,Prepare starter,2024-05-06 21:33:36.566,Cook helper-000001,,Prepare starter,157
14,prepare drinks,2024-05-06 21:33:36.566,Barman-000003,,prepare drinks,158
14,Bring drinks,2024-05-06 21:36:01.242,Barman-000002,,Bring drinks,159
12,review,2024-05-06 21:38:19.096,Waiter-000004,homonymous Label(Activity:'Review drinks'),Review drinks,160
14,Review drinks,2024-05-06 21:38:23.082,Waiter-000001,,Review drinks,161
12,Deliver to customer,2024-05-06 21:39:34.892,Waiter-000005,,Deliver to customer,162
12,EVENT 8 END,2024-05-06 21:40:05.182,,,EVENT 8 END,163
11,Bring food,2024-05-06 21:50:38.153,Cook helper-000002,,Bring food,164
14,Signal food complete,2024-05-06 21:50:38.153,Cook-000003,,Signal food complete,165
11,Deliver to customer,2024-05-06 21:52:27.104,Waiter-000005,,Deliver to customer,166
11,EVENT 8 END,2024-05-06 21:52:55.967,,,EVENT 8 END,167
7,Bring food,2024-05-06 21:54:49.690,Cook helper-000003,,Bring food,168
7,Deliver to customer,2024-05-06 21:56:07.680,Waiter-000001,,Deliver to customer,169
7,EVENT 8 END,2024-05-06 21:56:23.319,,,EVENT 8 END,170
16,start,2024-05-06 22:00:00.000,,,start,171
16,Take order,2024-05-06 22:00:00.000,Waiter-000002,,Take order,172
16,review,2024-05-06 22:01:39.892,Waiter-000003,homonymous Label(Activity:'Review order'),Review order,173
16,prepare order,2024-05-06 22:01:52.609,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,174
16,Prepare main course,2024-05-06 22:04:41.356,Cook-000003,,Prepare main course,175
14,Bring food,2024-05-06 22:04:41.356,Cook helper-000001,,Bring food,176
16,Bring drinks,2024-05-06 22:07:06.853,Barman-000003,,Bring drinks,177
14,Deliver to customer,2024-05-06 22:11:26.879,Waiter-000004,,Deliver to customer,178
14,EVENT 8 END,2024-05-06 22:11:30.901,,,EVENT 8 END,179
16,Review drinks,2024-05-06 22:13:15.226,Waiter-000005,,Review drinks,180
16,prepare drinks,2024-05-06 22:13:28.618,Barman-000001,,prepare drinks,181
17,Take order,2024-05-06 22:15:00.000,Waiter-000001,,Take order,182
17,start,2024-05-06 22:15:00.000,,,start,183
17,Review order,2024-05-06 22:18:17.816,Waiter-000002,,Review order,184
17,prepare order,2024-05-06 22:18:27.728,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,185
17,Prepare starter,2024-05-06 22:18:27.728,Cook helper-000002,,Prepare starter,186
16,bring order,2024-05-06 22:19:26.861,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,187
17,Bring drinks,2024-05-06 22:20:05.368,Barman-000001,,Bring drinks,188
17,prepare order,2024-05-06 22:21:02.434,Cook-000002,homonymous Label(Activity:'Prepare main course'),Prepare main course,189
13,bring order,2024-05-06 22:21:02.434,Cook helper-000003,homonymous Label(Activity:'Bring food'),Bring food,190
17,Review drinks,2024-05-06 22:23:30.646,Waiter-000003,,Review drinks,191
17,Signal food complete,2024-05-06 22:24:00.774,Cook-000002,,Signal food complete,192
17,prepare order,2024-05-06 22:24:10.802,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,193
17,bring order,2024-05-06 22:27:53.879,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,194
16,Signal food complete,2024-05-06 22:27:58.644,Cook-000001,,Signal food complete,195
18,Take order,2024-05-06 22:30:00.000,Waiter-000005,,Take order,196
18,start,2024-05-06 22:30:00.000,,,start,197
18,review,2024-05-06 22:31:25.044,Waiter-000001,homonymous Label(Activity:'Review order'),Review order,198
13,Deliver to customer,2024-05-06 22:32:42.832,Waiter-000002,,Deliver to customer,199
13,EVENT 8 END,2024-05-06 22:33:01.508,,,EVENT 8 END,200
18,prepare order,2024-05-06 22:35:16.569,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,201
18,prepare order,2024-05-06 22:35:16.569,Cook-000003,homonymous Label(Activity:'Prepare main course'),Prepare main course,202
18,Signal food complete,2024-05-06 22:37:13.341,Cook-000003,,Signal food complete,203
17,bring order,2024-05-06 22:38:55.367,Cook helper-000002,homonymous Label(Activity:'Bring food'),Bring food,204
18,bring order,2024-05-06 22:43:24.354,Barman-000002,homonymous Label(Activity:'Bring drinks'),Bring drinks,205
17,Review drinks,2024-05-06 22:43:38.259,Waiter-000003,,Review drinks,206
17,prepare order,2024-05-06 22:44:19.303,Barman-000001,homonymous Label(Activity:'prepare drinks'),prepare drinks,207
17,Bring drinks,2024-05-06 22:44:19.516,Barman-000001,,Bring drinks,208
17,review,2024-05-06 22:45:06.174,Waiter-000005,homonymous Label(Activity:'Review drinks'),Review drinks,209
18,review,2024-05-06 22:45:51.776,Waiter-000002,homonymous Label(Activity:'Review drinks'),Review drinks,210
17,Deliver to customer,2024-05-06 22:48:22.455,Waiter-000003,,Deliver to customer,211
17,EVENT 8 END,2024-05-06 22:49:12.192,,,EVENT 8 END,212
18,prepare order,2024-05-06 22:49:21.605,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,213
18,Bring drinks,2024-05-06 22:49:37.255,Barman-000002,,Bring drinks,214
16,review,2024-05-06 22:50:01.585,Waiter-000005,homonymous Label(Activity:'Review drinks'),Review drinks,215
18,Review drinks,2024-05-06 22:53:49.108,Waiter-000004,,Review drinks,216
18,prepare order,2024-05-06 22:53:52.637,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,217
20,start,2024-05-06 23:00:00.000,,,start,219
20,Take order,2024-05-06 23:00:00.000,Waiter-000003,,Take order,218
18,Bring drinks,2024-05-06 23:01:16.851,Barman-000001,,Bring drinks,220
18,Review drinks,2024-05-06 23:02:20.635,Waiter-000002,,Review drinks,221
20,Review order,2024-05-06 23:03:47.094,Waiter-000005,,Review order,222
16,Bring food,2024-05-06 23:04:03.859,Cook helper-000003,,Bring food,223
16,Deliver to customer,2024-05-06 23:04:05.187,Waiter-000004,,Deliver to customer,224
16,EVENT 8 END,2024-05-06 23:05:18.408,,,EVENT 8 END,225
20,prepare order,2024-05-06 23:06:23.195,Cook helper-000002,homonymous Label(Activity:'Prepare starter'),Prepare starter,226
20,prepare order,2024-05-06 23:06:23.195,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,227
20,Prepare main course,2024-05-06 23:06:23.195,Cook-000001,,Prepare main course,228
20,Bring drinks,2024-05-06 23:09:15.304,Barman-000001,,Bring drinks,229
20,review,2024-05-06 23:14:46.763,Waiter-000002,homonymous Label(Activity:'Review drinks'),Review drinks,230
21,start,2024-05-06 23:15:00.000,,,start,232
21,Take order,2024-05-06 23:15:00.000,Waiter-000003,,Take order,231
20,prepare order,2024-05-06 23:15:22.781,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,233
20,bring order,2024-05-06 23:19:45.326,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,234
20,review,2024-05-06 23:22:43.189,Waiter-000004,homonymous Label(Activity:'Review drinks'),Review drinks,235
20,prepare drinks,2024-05-06 23:23:48.832,Barman-000001,,prepare drinks,236
21,Review order,2024-05-06 23:23:54.205,Waiter-000001,,Review order,237
21,prepare order,2024-05-06 23:24:28.828,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,238
21,Prepare starter,2024-05-06 23:24:28.828,Cook helper-000001,,Prepare starter,239
21,prepare order,2024-05-06 23:28:10.639,Cook-000001,homonymous Label(Activity:'Prepare main course'),Prepare main course,240
20,Bring drinks,2024-05-06 23:31:48.660,Barman-000003,,Bring drinks,241
20,Review drinks,2024-05-06 23:32:22.831,Waiter-000002,,Review drinks,242
21,bring order,2024-05-06 23:35:41.397,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,243
21,review,2024-05-06 23:37:39.341,Waiter-000003,homonymous Label(Activity:'Review drinks'),Review drinks,244
20,Signal food complete,2024-05-06 23:50:55.024,Cook-000001,,Signal food complete,245
20,bring order,2024-05-06 23:53:21.674,Cook helper-000003,homonymous Label(Activity:'Bring food'),Bring food,246
20,Deliver to customer,2024-05-06 23:56:29.231,Waiter-000003,,Deliver to customer,247
20,EVENT 8 END,2024-05-06 23:56:57.902,,,EVENT 8 END,248
21,Signal food complete,2024-05-07 00:05:51.169,Cook-000002,,Signal food complete,249
21,Bring food,2024-05-07 00:11:39.543,Cook helper-000001,,Bring food,250
21,Deliver to customer,2024-05-07 00:18:09.360,Waiter-000002,,Deliver to customer,251
21,EVENT 8 END,2024-05-07 00:19:02.441,,,EVENT 8 END,252
27,Take order,2024-05-07 00:45:00.000,Waiter-000002,,Take order,253
27,start,2024-05-07 00:45:00.000,,,start,254
27,review,2024-05-07 00:49:21.662,Waiter-000005,homonymous Label(Activity:'Review order'),Review order,255
18,bring order,2024-05-07 00:49:26.658,Cook helper-000002,homonymous Label(Activity:'Bring food'),Bring food,256
27,prepare order,2024-05-07 00:50:05.575,Cook helper-000001,homonymous Label(Activity:'Prepare starter'),Prepare starter,258
27,prepare order,2024-05-07 00:50:05.575,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,257
18,Deliver to customer,2024-05-07 00:50:22.590,Waiter-000003,,Deliver to customer,259
27,Bring drinks,2024-05-07 00:50:33.504,Barman-000001,,Bring drinks,260
27,Review drinks,2024-05-07 00:52:47.015,Waiter-000001,,Review drinks,261
18,EVENT 8 END,2024-05-07 00:52:51.532,,,EVENT 8 END,262
27,prepare order,2024-05-07 00:56:56.744,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,263
27,prepare order,2024-05-07 00:57:15.158,Cook-000002,homonymous Label(Activity:'Prepare main course'),Prepare main course,264
28,start,2024-05-07 01:00:00.000,,,start,265
28,Take order,2024-05-07 01:00:00.000,Waiter-000005,,Take order,266
28,review,2024-05-07 01:00:31.077,Waiter-000004,homonymous Label(Activity:'Review order'),Review order,267
28,prepare drinks,2024-05-07 01:01:52.659,Barman-000002,,prepare drinks,268
28,Bring drinks,2024-05-07 01:03:06.308,Barman-000001,,Bring drinks,269
28,review,2024-05-07 01:04:25.658,Waiter-000003,homonymous Label(Activity:'Review drinks'),Review drinks,270
27,bring order,2024-05-07 01:08:03.120,Barman-000002,homonymous Label(Activity:'Bring drinks'),Bring drinks,271
27,review,2024-05-07 01:10:01.184,Waiter-000001,homonymous Label(Activity:'Review drinks'),Review drinks,272
29,start,2024-05-07 01:15:00.000,,,start,273
29,Take order,2024-05-07 01:15:00.000,Waiter-000002,,Take order,274
29,review,2024-05-07 01:15:32.092,Waiter-000005,homonymous Label(Activity:'Review order'),Review order,275
29,prepare order,2024-05-07 01:15:52.340,Barman-000001,homonymous Label(Activity:'prepare drinks'),prepare drinks,276
28,Prepare main course,2024-05-07 01:19:12.352,Cook-000001,,Prepare main course,277
29,Prepare main course,2024-05-07 01:20:36.257,Cook-000001,,Prepare main course,278
27,Signal food complete,2024-05-07 01:23:38.710,Cook-000003,,Signal food complete,279
27,bring order,2024-05-07 01:24:49.463,Cook helper-000001,homonymous Label(Activity:'Bring food'),Bring food,280
27,Deliver to customer,2024-05-07 01:25:13.870,Waiter-000004,,Deliver to customer,281
30,Take order,2024-05-07 01:30:00.000,Waiter-000001,,Take order,283
30,start,2024-05-07 01:30:00.000,,,start,282
30,Review order,2024-05-07 01:30:27.482,Waiter-000002,,Review order,284
29,Bring drinks,2024-05-07 01:31:50.553,Barman-000003,,Bring drinks,285
27,EVENT 8 END,2024-05-07 01:32:04.645,,,EVENT 8 END,286
28,Signal food complete,2024-05-07 01:32:09.144,Cook-000002,,Signal food complete,287
30,prepare drinks,2024-05-07 01:32:11.366,Barman-000002,,prepare drinks,288
29,Review drinks,2024-05-07 01:32:37.932,Waiter-000005,,Review drinks,289
30,Bring drinks,2024-05-07 01:34:54.751,Barman-000001,,Bring drinks,290
30,review,2024-05-07 01:37:02.549,Waiter-000003,homonymous Label(Activity:'Review drinks'),Review drinks,291
31,start,2024-05-07 01:45:00.000,,,start,292
31,Take order,2024-05-07 01:45:00.000,Waiter-000004,,Take order,293
31,review,2024-05-07 01:45:18.174,Waiter-000002,homonymous Label(Activity:'Review order'),Review order,294
31,Prepare starter,2024-05-07 01:45:35.382,Cook helper-000001,,Prepare starter,296
31,prepare order,2024-05-07 01:45:35.382,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,295
31,Bring drinks,2024-05-07 01:47:23.177,Barman-000002,,Bring drinks,297
31,Review drinks,2024-05-07 01:48:40.031,Waiter-000001,,Review drinks,298
30,Prepare main course,2024-05-07 01:49:12.895,Cook-000002,,Prepare main course,299
28,bring order,2024-05-07 01:49:12.895,Cook helper-000002,homonymous Label(Activity:'Bring food'),Bring food,300
31,prepare order,2024-05-07 01:50:36.923,Cook-000003,homonymous Label(Activity:'Prepare main course'),Prepare main course,301
28,Deliver to customer,2024-05-07 01:51:28.624,Waiter-000005,,Deliver to customer,302
28,EVENT 8 END,2024-05-07 01:53:44.678,,,EVENT 8 END,303
32,start,2024-05-07 02:00:00.000,,,start,304
32,Take order,2024-05-07 18:00:00.000,Waiter-000004,,Take order,305
31,Signal food complete,2024-05-07 18:00:30.873,Cook-000003,,Signal food complete,306
32,Review order,2024-05-07 18:00:49.456,Waiter-000002,,Review order,307
32,prepare drinks,2024-05-07 18:02:00.345,Barman-000001,,prepare drinks,308
32,bring order,2024-05-07 18:03:52.959,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,309
32,review,2024-05-07 18:04:19.242,Waiter-000001,homonymous Label(Activity:'Review drinks'),Review drinks,310
32,Prepare main course,2024-05-07 18:07:28.679,Cook-000002,,Prepare main course,311
31,bring order,2024-05-07 18:07:54.748,Cook helper-000001,homonymous Label(Activity:'Bring food'),Bring food,312
30,Signal food complete,2024-05-07 18:07:54.748,Cook-000003,,Signal food complete,313
31,Deliver to customer,2024-05-07 18:10:42.292,Waiter-000005,,Deliver to customer,314
31,EVENT 8 END,2024-05-07 18:11:51.763,,,EVENT 8 END,315
33,start,2024-05-07 18:15:00.000,,,start,316
33,Take order,2024-05-07 18:15:00.000,Waiter-000003,,Take order,317
33,review,2024-05-07 18:15:38.272,Waiter-000004,homonymous Label(Activity:'Review order'),Review order,318
32,Signal food complete,2024-05-07 18:16:33.254,Cook-000002,,Signal food complete,319
30,Bring food,2024-05-07 18:17:07.543,Cook helper-000002,,Bring food,320
33,prepare drinks,2024-05-07 18:17:56.526,Barman-000002,,prepare drinks,321
